display,ID,label,frequency,ANSWER,leftLabel,rightLabel,centerLabel,buttonLeft,buttonRight,buttonCenter,randomise_blocks,randomise_trials,TimedSection,pause,list
experiment,bim20.jpg,bim,control,c,,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,1,,,3
experiment,31875.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,1,,,3
experiment,bim6.jpg,bim,control,r,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,1,,,3
experiment,bim23.jpg,bim,control,r,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,1,,,3
experiment,bim6.jpg,bim,control,r,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,1,,,3
experiment,bim11.jpg,bim,control,c,,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,1,,,3
experiment,bim25.jpg,bim,control,c,,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,1,,,3
experiment,12675.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,1,,,3
break,,,,,,,,,,,,,,# Break n.1 of 5 - Take your time to rest. When you're ready click the button below.,3
experiment,bim22.jpg,bim,control,c,,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,2,,,3
experiment,21975.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,2,,,3
experiment,31075.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,2,,,3
experiment,10525.jpg,dep,l,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,2,,,3
experiment,22325.jpg,wug,l,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,2,,,3
experiment,bim25.jpg,bim,control,c,,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,2,,,3
experiment,21225.jpg,wug,l,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,2,,,3
experiment,21725.jpg,wug,l,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,2,,,3
experiment,bim5.jpg,bim,control,r,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,2,,,3
experiment,bim21.jpg,bim,control,c,,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,2,,,3
experiment,11675.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,2,,,3
experiment,21175.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,2,,,3
experiment,11975.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,2,,,3
experiment,bim10.jpg,bim,control,l,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,2,,,3
experiment,20175.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,2,,,3
experiment,bim21.jpg,bim,control,r,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,2,,,3
experiment,11675.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,2,,,3
experiment,bim3.jpg,bim,control,r,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,2,,,3
