"randomise_blocks","randomise_trials","display","fribbleID","labelPresented","frequency","trialType","ShowProgressBar","list"
"",1,"task","10175.jpg","<p style=""font-size: 500%;""> wug </p>","h","mismatch-type1",1,3
"",1,"task","22575.jpg","<p style=""font-size: 500%;""> tob </p>","h","mismatch-type1",1,3
"",1,"task","12425.jpg","<p style=""font-size: 500%;""> dep </p>","l","match",1,3
"",1,"task","20775.jpg","<p style=""font-size: 500%;""> wug </p>","h","match",1,3
"",1,"task","10625.jpg","<p style=""font-size: 500%;""> tob </p>","l","mismatch-type1",1,3
"",1,"task","12575.jpg","<p style=""font-size: 500%;""> dep </p>","h","match",1,3
"",1,"task","10875.jpg","<p style=""font-size: 500%;""> dep </p>","h","match",1,3
"",1,"task","11875.jpg","<p style=""font-size: 500%;""> dep </p>","h","match",1,3
"",1,"task","31625.jpg","<p style=""font-size: 500%;""> tob </p>","l","match",1,3
"",1,"task","11925.jpg","<p style=""font-size: 500%;""> tob </p>","l","mismatch-type1",1,3
"",1,"task","12775.jpg","<p style=""font-size: 500%;""> wug </p>","h","mismatch-type1",1,3
"",1,"task","31925.jpg","<p style=""font-size: 500%;""> tob </p>","l","match",1,3
"",1,"task","11175.jpg","<p style=""font-size: 500%;""> wug </p>","h","mismatch-type1",1,3
"",1,"task","22325.jpg","<p style=""font-size: 500%;""> dep </p>","l","mismatch-type1",1,3
"",1,"task","30975.jpg","<p style=""font-size: 500%;""> tob </p>","h","match",1,3
"",1,"task","23475.jpg","<p style=""font-size: 500%;""> wug </p>","h","match",1,3
"",1,"task","11575.jpg","<p style=""font-size: 500%;""> wug </p>","h","mismatch-type1",1,3
"",1,"task","22125.jpg","<p style=""font-size: 500%;""> dep </p>","l","mismatch-type1",1,3
"",1,"task","12675.jpg","<p style=""font-size: 500%;""> dep </p>","h","match",1,3
"",1,"task","21025.jpg","<p style=""font-size: 500%;""> dep </p>","l","mismatch-type1",1,3
"",1,"task","22775.jpg","<p style=""font-size: 500%;""> tob </p>","h","mismatch-type1",1,3
"",1,"task","11425.jpg","<p style=""font-size: 500%;""> tob </p>","l","mismatch-type1",1,3
"",1,"task","32675.jpg","<p style=""font-size: 500%;""> tob </p>","h","match",1,3
"",1,"task","32475.jpg","<p style=""font-size: 500%;""> tob </p>","h","match",1,3
,,"finish",,,,,,3
