"randomise_blocks","randomise_trials","display","fribbleID","labelPresented","frequency","trialType","ShowProgressBar","list"
"",1,"task","22375.jpg","<p style=""font-size: 500%;""> wug </p>","h","match",1,2
"",1,"task","13375.jpg","<p style=""font-size: 500%;""> dep </p>","h","match",1,2
"",1,"task","22525.jpg","<p style=""font-size: 500%;""> dep </p>","l","mismatch-type1",1,2
"",1,"task","31625.jpg","<p style=""font-size: 500%;""> wug </p>","l","mismatch-type1",1,2
"",1,"task","31575.jpg","<p style=""font-size: 500%;""> dep </p>","h","mismatch-type1",1,2
"",1,"task","22575.jpg","<p style=""font-size: 500%;""> tob </p>","h","mismatch-type1",1,2
"",1,"task","33375.jpg","<p style=""font-size: 500%;""> tob </p>","h","match",1,2
"",1,"task","13075.jpg","<p style=""font-size: 500%;""> wug </p>","h","mismatch-type1",1,2
"",1,"task","12175.jpg","<p style=""font-size: 500%;""> wug </p>","h","mismatch-type1",1,2
"",1,"task","30725.jpg","<p style=""font-size: 500%;""> tob </p>","l","match",1,2
"",1,"task","21875.jpg","<p style=""font-size: 500%;""> tob </p>","h","mismatch-type1",1,2
"",1,"task","10175.jpg","<p style=""font-size: 500%;""> wug </p>","h","mismatch-type1",1,2
"",1,"task","31675.jpg","<p style=""font-size: 500%;""> dep </p>","h","mismatch-type1",1,2
"",1,"task","32125.jpg","<p style=""font-size: 500%;""> tob </p>","l","match",1,2
"",1,"task","31925.jpg","<p style=""font-size: 500%;""> wug </p>","l","mismatch-type1",1,2
"",1,"task","20175.jpg","<p style=""font-size: 500%;""> wug </p>","h","match",1,2
"",1,"task","30775.jpg","<p style=""font-size: 500%;""> tob </p>","h","match",1,2
"",1,"task","12775.jpg","<p style=""font-size: 500%;""> dep </p>","h","match",1,2
"",1,"task","32325.jpg","<p style=""font-size: 500%;""> tob </p>","l","match",1,2
"",1,"task","32275.jpg","<p style=""font-size: 500%;""> tob </p>","h","match",1,2
"",1,"task","12025.jpg","<p style=""font-size: 500%;""> tob </p>","l","mismatch-type1",1,2
"",1,"task","20975.jpg","<p style=""font-size: 500%;""> wug </p>","h","match",1,2
,,"finish",,,,,,2
