blocks,frequency,subjID,pilot1_1,pilot2_1,pilot2_3,pilot2_2
4,h,3467073,19,NA,NA,NA
4,h,3473048,19,NA,NA,NA
4,h,3475213,19,NA,NA,NA
4,h,3481518,19,NA,NA,NA
4,h,3491839,19,NA,NA,NA
4,h,3502047,NA,19,NA,NA
4,h,3502650,NA,19,NA,NA
4,h,3502663,NA,NA,16,NA
4,h,3517616,NA,NA,NA,18
4,h,3517626,NA,19,NA,NA
4,h,3518198,NA,NA,NA,18
4,h,3528246,NA,NA,16,NA
4,h,3528247,NA,NA,16,NA
4,h,3528252,NA,NA,NA,18
4,h,3528273,NA,19,NA,NA
4,l,3394859,4,NA,NA,NA
4,l,3421453,4,NA,NA,NA
4,l,3424063,4,NA,NA,NA
4,l,3430836,4,NA,NA,NA
4,l,3467073,4,NA,NA,NA
4,l,3473048,4,NA,NA,NA
4,l,3475213,4,NA,NA,NA
4,l,3481518,4,NA,NA,NA
4,l,3491839,4,NA,NA,NA
4,l,3502047,NA,4,NA,NA
4,l,3502650,NA,4,NA,NA
4,l,3502663,NA,NA,6,NA
4,l,3517616,NA,NA,NA,7
4,l,3517626,NA,4,NA,NA
4,l,3518198,NA,NA,NA,7
4,l,3528246,NA,NA,6,NA
4,l,3528247,NA,NA,6,NA
4,l,3528252,NA,NA,NA,7
4,l,3528273,NA,4,NA,NA
5,control,3394859,6,NA,NA,NA
5,control,3421453,6,NA,NA,NA
5,control,3424063,6,NA,NA,NA
5,control,3430836,6,NA,NA,NA
5,control,3467073,6,NA,NA,NA
5,control,3473048,6,NA,NA,NA
5,control,3475213,6,NA,NA,NA
5,control,3481518,6,NA,NA,NA
5,control,3491839,6,NA,NA,NA
5,control,3502047,NA,6,NA,NA
5,control,3502650,NA,6,NA,NA
5,control,3502663,NA,NA,6,NA
5,control,3517616,NA,NA,NA,8
5,control,3517626,NA,6,NA,NA
5,control,3518198,NA,NA,NA,8
5,control,3528246,NA,NA,6,NA
5,control,3528247,NA,NA,6,NA
5,control,3528252,NA,NA,NA,8
5,control,3528273,NA,6,NA,NA
5,h,3394859,14,NA,NA,NA
5,h,3421453,14,NA,NA,NA
5,h,3424063,14,NA,NA,NA
5,h,3430836,14,NA,NA,NA
5,h,3467073,14,NA,NA,NA
5,h,3473048,14,NA,NA,NA
5,h,3475213,14,NA,NA,NA
5,h,3481518,14,NA,NA,NA
5,h,3491839,14,NA,NA,NA
5,h,3502047,NA,14,NA,NA
5,h,3502650,NA,14,NA,NA
5,h,3502663,NA,NA,13,NA
5,h,3517616,NA,NA,NA,15
5,h,3517626,NA,14,NA,NA
5,h,3518198,NA,NA,NA,15
5,h,3528246,NA,NA,13,NA
5,h,3528247,NA,NA,13,NA
5,h,3528252,NA,NA,NA,15
5,h,3528273,NA,14,NA,NA
5,l,3394859,6,NA,NA,NA
5,l,3421453,6,NA,NA,NA
5,l,3424063,6,NA,NA,NA
5,l,3430836,6,NA,NA,NA
5,l,3467073,6,NA,NA,NA
5,l,3473048,6,NA,NA,NA
5,l,3475213,6,NA,NA,NA
5,l,3481518,6,NA,NA,NA
5,l,3491839,6,NA,NA,NA
5,l,3502047,NA,6,NA,NA
5,l,3502650,NA,6,NA,NA
