Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,Question Key,Response
4,1596480048073,03/08/2020 18:40:48,1596480047141,1,03/08/2020 19:40:47,15519,20,questionnaire-mkjr,,6349451,BLIND,1800331,,complete,,5f285a1bb78f0215dafe2977,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1920x1080,1416x937,,Consent,6,FL,q6,1
5,1596480048073,03/08/2020 18:40:48,1596480047141,1,03/08/2020 19:40:47,15519,20,questionnaire-mkjr,,6349451,BLIND,1800331,,complete,,5f285a1bb78f0215dafe2977,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1920x1080,1416x937,,Consent,6,FL,END QUESTIONNAIRE,13127
1,1596480035027,03/08/2020 18:40:35,1596480036685,1,03/08/2020 19:40:36,15519,20,questionnaire-mkjr,,6349452,BLIND,1800332,,complete,,5f285a17ef2fde138437750d,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1536x722,,Consent,6,LF,BEGIN QUESTIONNAIRE,
2,1596480121483,03/08/2020 18:42:01,1596480123236,1,03/08/2020 19:42:03,15519,20,questionnaire-mkjr,,6349452,BLIND,1800332,,complete,,5f285a17ef2fde138437750d,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1536x722,,Consent,6,LF,q1,1
3,1596480121577,03/08/2020 18:42:01,1596480123239,1,03/08/2020 19:42:03,15519,20,questionnaire-mkjr,,6349452,BLIND,1800332,,complete,,5f285a17ef2fde138437750d,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1536x722,,Consent,6,LF,q4,1
4,1596480121577,03/08/2020 18:42:01,1596480123240,1,03/08/2020 19:42:03,15519,20,questionnaire-mkjr,,6349452,BLIND,1800332,,complete,,5f285a17ef2fde138437750d,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1536x722,,Consent,6,LF,q6,1
5,1596480121577,03/08/2020 18:42:01,1596480123240,1,03/08/2020 19:42:03,15519,20,questionnaire-mkjr,,6349452,BLIND,1800332,,complete,,5f285a17ef2fde138437750d,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1536x722,,Consent,6,LF,END QUESTIONNAIRE,86555
1,1596480038198,03/08/2020 18:40:38,1596480036026,-5,03/08/2020 13:40:36,15519,20,questionnaire-mkjr,,6349453,BLIND,1800333,,complete,,5f285a1ab955cc15e8adab39,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,958x931,,Consent,6,LF,BEGIN QUESTIONNAIRE,
2,1596480066391,03/08/2020 18:41:06,1596480064251,-5,03/08/2020 13:41:04,15519,20,questionnaire-mkjr,,6349453,BLIND,1800333,,complete,,5f285a1ab955cc15e8adab39,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,958x931,,Consent,6,LF,q1,1
3,1596480066623,03/08/2020 18:41:06,1596480064252,-5,03/08/2020 13:41:04,15519,20,questionnaire-mkjr,,6349453,BLIND,1800333,,complete,,5f285a1ab955cc15e8adab39,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,958x931,,Consent,6,LF,q4,1
