Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Correct,presentedImage,presentedLabel,learningType,response
29,1596621965263,05/08/2020 10:06:05,1596621964730,-4,05/08/2020 06:06:04,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,28,,/task/90393/10/asset/Slide9.JPG,This is a wug:,LF,
30,1596621966264,05/08/2020 10:06:06,1596621965739,-4,05/08/2020 06:06:05,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,This is a dep:,,learningBlock1,,html-keyboard-response,29,,,,,
31,1596621966576,05/08/2020 10:06:06,1596621966071,-4,05/08/2020 06:06:06,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,/task/90393/10/asset/Slide10.JPG,,,,image-keyboard-response,30,,,,,
32,1596621967592,05/08/2020 10:06:07,1596621967075,-4,05/08/2020 06:06:07,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,31,,/task/90393/10/asset/Slide10.JPG,This is a dep:,LF,
33,1596621968606,05/08/2020 10:06:08,1596621968080,-4,05/08/2020 06:06:08,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,This is a tob:,,learningBlock1,,html-keyboard-response,32,,,,,
34,1596621968934,05/08/2020 10:06:08,1596621968411,-4,05/08/2020 06:06:08,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,/task/90393/10/asset/Slide11.JPG,,,,image-keyboard-response,33,,,,,
35,1596621969934,05/08/2020 10:06:09,1596621969417,-4,05/08/2020 06:06:09,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,34,,/task/90393/10/asset/Slide11.JPG,This is a tob:,LF,
36,1596621970952,05/08/2020 10:06:10,1596621970422,-4,05/08/2020 06:06:10,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,This is a dep:,,learningBlock1,,html-keyboard-response,35,,,,,
37,1596621971264,05/08/2020 10:06:11,1596621970754,-4,05/08/2020 06:06:10,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,/task/90393/10/asset/Slide12.JPG,,,,image-keyboard-response,36,,,,,
38,1596621972279,05/08/2020 10:06:12,1596621971758,-4,05/08/2020 06:06:11,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,37,,/task/90393/10/asset/Slide12.JPG,This is a dep:,LF,
39,1596621973279,05/08/2020 10:06:13,1596621972763,-4,05/08/2020 06:06:12,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,This is a bim:,,learningBlock1,,html-keyboard-response,38,,,,,
40,1596621973623,05/08/2020 10:06:13,1596621973095,-4,05/08/2020 06:06:13,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,/task/90393/10/asset/Slide13.JPG,,,,image-keyboard-response,39,,,,,
