task,subjID,display,trial,fribblePresented,resp,labelPresented,frequency,rt,trialType,list,expeType
contingency,3473048,task,33,30825,-100,tob,l,5654.415,match,1,pilot1
contingency,3473048,task,34,12875,-97,wug,h,4330.55,mismatch-type1,1,pilot1
contingency,3473048,task,35,32775,-100,dep,h,3407.05,mismatch-type1,1,pilot1
contingency,3473048,task,36,23175,-100,tob,h,3537.38,mismatch-type1,1,pilot1
contingency,3473048,task,37,20425,-59,wug,l,4241.45,match,1,pilot1
contingency,3473048,task,38,20925,-64,wug,l,4264.19,match,1,pilot1
contingency,3473048,task,39,31475,100,tob,h,2687.495,match,1,pilot1
contingency,3473048,task,40,12325,53,tob,l,4388.21,mismatch-type1,1,pilot1
contingency,3473048,task,41,32025,100,wug,l,5052.31,mismatch-type1,1,pilot1
contingency,3473048,task,42,12225,-100,dep,l,4558.085,match,1,pilot1
contingency,3473048,task,43,12125,-100,dep,l,3502.435,match,1,pilot1
contingency,3473048,task,44,22375,60,wug,h,4758.825,match,1,pilot1
contingency,3473048,task,45,31575,100,tob,h,2977.43,match,1,pilot1
contingency,3473048,task,46,10975,100,dep,h,3857.41,match,1,pilot1
contingency,3473048,task,47,32275,100,tob,h,4506.06,match,1,pilot1
contingency,3473048,task,48,10675,-100,wug,h,3388.765,mismatch-type1,1,pilot1
contingency,3473048,task,49,32525,68,wug,l,3270.885,mismatch-type1,1,pilot1
contingency,3473048,task,50,21025,-61,wug,l,4684.895,match,1,pilot1
contingency,3473048,task,51,10925,53,tob,l,4792.905,mismatch-type1,1,pilot1
contingency,3473048,task,52,33075,-100,dep,h,2824.935,mismatch-type1,1,pilot1
contingency,3473048,task,53,10625,-100,dep,l,3201.61,match,1,pilot1
contingency,3473048,task,54,32225,-100,tob,l,5416.8,match,1,pilot1
contingency,3473048,task,55,22225,56,dep,l,3773.05,mismatch-type1,1,pilot1
contingency,3473048,task,56,11975,-100,wug,h,2723.92,mismatch-type1,1,pilot1
contingency,3473048,task,57,30275,100,tob,h,2338.805,match,1,pilot1
contingency,3473048,task,58,22175,-100,tob,h,4546.7,mismatch-type1,1,pilot1
contingency,3473048,task,59,31725,-100,tob,l,2744.56,match,1,pilot1
contingency,3473048,task,60,20575,-100,tob,h,3645.51,mismatch-type1,1,pilot1
contingency,3467073,task,1,20375,100,wug,h,4619.75,match,1,pilot1
contingency,3467073,task,2,11025,-39,dep,l,3510.94,match,1,pilot1
contingency,3467073,task,3,21125,2,dep,l,8493.017,mismatch-type1,1,pilot1
contingency,3467073,task,4,22475,100,wug,h,4457.63,match,1,pilot1
contingency,3467073,task,5,13375,22,dep,h,3117.31,match,1,pilot1
contingency,3467073,task,6,21675,-68,tob,h,3443.925,mismatch-type1,1,pilot1
contingency,3467073,task,7,31525,99,wug,l,4681.32,mismatch-type1,1,pilot1
contingency,3467073,task,8,30875,60,tob,h,3555.255,match,1,pilot1
contingency,3467073,task,9,11725,-59,dep,l,3876.22,match,1,pilot1
contingency,3467073,task,10,30975,-37,dep,h,3632.83,mismatch-type1,1,pilot1
contingency,3467073,task,11,20825,30,dep,l,2622.865,mismatch-type1,1,pilot1
