subjID frequency learning testing trialType acc
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
16 h sx sx control 1
16 h sx sx control 1
16 h sx sx control 1
16 h sx sx control 1
16 h sx sx control 1
16 h sx sx control 1
16 h sx sx control 1
16 h sx sx control 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 h sx sx exp 1
16 l sx sx exp 1
16 l sx sx exp 1
16 l sx sx exp 1
16 l sx sx exp 1
16 l sx sx exp 1
16 l sx sx exp 1
16 l sx sx exp 1
16 l sx sx exp 1
16 l sx sx exp 0
16 l sx sx exp 0
16 l sx sx exp 0
16 l sx sx exp 0
16 l sx sx exp 0
16 l sx sx exp 0
16 l sx sx exp 0
16 l sx sx exp 0
16 l sx sx exp 1
16 l sx sx exp 1
16 l sx sx exp 1
16 l sx sx exp 1
16 l sx sx exp 0
16 l sx sx exp 1
16 l sx sx exp 1
16 l sx sx exp 1
15 h sx sx control 1
15 h sx sx control 1
15 h sx sx control 1
15 h sx sx control 1
15 h sx sx control 1
15 h sx sx control 1
15 h sx sx control 1
15 h sx sx control 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 h sx sx exp 1
15 l sx sx exp 1
15 l sx sx exp 1
15 l sx sx exp 0
15 l sx sx exp 0
15 l sx sx exp 1
15 l sx sx exp 0
15 l sx sx exp 0
15 l sx sx exp 0
15 l sx sx exp 0
15 l sx sx exp 0
15 l sx sx exp 0
15 l sx sx exp 0
15 l sx sx exp 0
15 l sx sx exp 0
15 l sx sx exp 0
15 l sx sx exp 0
15 l sx sx exp 0
15 l sx sx exp 0
15 l sx sx exp 0
15 l sx sx exp 0
15 l sx sx exp 0
15 l sx sx exp 0
15 l sx sx exp 0
15 l sx sx exp 0
14 h sx sx control 1
14 h sx sx control 1
14 h sx sx control 1
14 h sx sx control 0
14 h sx sx control 0
14 h sx sx control 0
14 h sx sx control 0
14 h sx sx control 1
14 h sx sx exp 0
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 h sx sx exp 1
14 l sx sx exp 1
14 l sx sx exp 1
14 l sx sx exp 0
14 l sx sx exp 1
14 l sx sx exp 0
14 l sx sx exp 1
14 l sx sx exp 0
14 l sx sx exp 0
14 l sx sx exp 0
14 l sx sx exp 0
14 l sx sx exp 0
14 l sx sx exp 0
14 l sx sx exp 0
14 l sx sx exp 0
14 l sx sx exp 0
14 l sx sx exp 0
14 l sx sx exp 0
14 l sx sx exp 0
14 l sx sx exp 0
14 l sx sx exp 0
14 l sx sx exp 0
14 l sx sx exp 0
14 l sx sx exp 0
14 l sx sx exp 0
13 h sx sx control 1
13 h sx sx control 1
13 h sx sx control 1
13 h sx sx control 1
13 h sx sx control 1
13 h sx sx control 1
13 h sx sx control 1
13 h sx sx control 1
13 h sx sx exp 0
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 h sx sx exp 1
13 l sx sx exp 0
13 l sx sx exp 0
13 l sx sx exp 0
13 l sx sx exp 0
13 l sx sx exp 0
13 l sx sx exp 0
13 l sx sx exp 0
13 l sx sx exp 0
13 l sx sx exp 1
13 l sx sx exp 1
13 l sx sx exp 1
13 l sx sx exp 0
13 l sx sx exp 0
13 l sx sx exp 0
13 l sx sx exp 0
13 l sx sx exp 0
13 l sx sx exp 0
13 l sx sx exp 0
13 l sx sx exp 0
13 l sx sx exp 0
13 l sx sx exp 0
13 l sx sx exp 0
13 l sx sx exp 0
13 l sx sx exp 0
12 h sx sx control 1
12 h sx sx control 1
12 h sx sx control 1
12 h sx sx control 1
