resp,category,fribbleSelected,task,subjID,trial,labelPresented,frequency,rt,list,acc,type_of_resp,expeType
12525,1,dep,2AFC - 4 pictures,3467073,44,tob,low,975.94,1,0,mismatch-type1,pilot1
12575,1,dep,2AFC - 4 pictures,3491839,50,bim,control_high,1328.725,1,0,errorControl,pilot1
12975,1,dep,2AFC - 4 pictures,3473048,31,dep,high,2118.125,1,1,match,pilot1
12975,1,dep,2AFC - 4 pictures,3481518,31,dep,high,2477.975,1,1,match,pilot1
12975,1,dep,2AFC - 4 pictures,3424063,31,dep,high,1885,1,1,match,pilot1
12975,1,dep,2AFC - 4 pictures,3430836,31,dep,high,2981.83,1,1,match,pilot1
12975,1,dep,2AFC - 4 pictures,3394859,31,dep,high,1822.735,1,1,match,pilot1
12975,1,dep,2AFC - 4 pictures,3421453,31,dep,high,1589.325,1,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3473048,26,dep,high,1895.325,1,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3467073,26,dep,high,2176.735,1,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3475213,26,dep,high,2528.645,1,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3421453,26,dep,high,1994.315,1,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3481518,26,dep,high,2216.825,1,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3424063,26,dep,high,1734,1,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3394859,26,dep,high,2102.165,1,1,match,pilot1
13175,1,dep,2AFC - 4 pictures,3491839,42,wug,high,2264.47,1,0,mismatch-type1,pilot1
13375,1,dep,2AFC - 4 pictures,3491839,25,tob,high,1445.385,1,0,mismatch-type2,pilot1
13375,1,dep,2AFC - 4 pictures,3475213,25,tob,high,2223.06,1,0,mismatch-type2,pilot1
13575,1,dep,2AFC - 4 pictures,3491839,36,wug,high,1510.18,1,0,mismatch-type1,pilot1
20125,2,wug,2AFC - 4 pictures,3394859,40,wug,low,2565.8,1,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3424063,40,wug,low,1335,1,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3475213,40,wug,low,1931.96,1,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3481518,4,wug,low,2358.95,1,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3424063,4,wug,low,1770,1,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3421453,40,wug,low,1693.335,1,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3430836,4,wug,low,3427,1,1,match,pilot1
