fribbleID,subjID,learning,task,label,rt,resp,plugin,trialIndex,acc,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType
1,1846354,FL,pictureLabels,tobdepwugbim,NA,NA,image-button-response,486,NA,10375,3,high,dep,blue,exp
1,1826928,LF,pictureLabels,tobdepwugbim,NA,NA,image-button-response,486,NA,10375,3,high,dep,blue,exp
1,1824288,LF,pictureLabels,tobdepwugbim,2088,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1845195,LF,pictureLabels,tobdepwugbim,2267.56000000751,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1826988,LF,pictureLabels,tobdepwugbim,1892.47000000067,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1845201,FL,pictureLabels,tobdepwugbim,2091.54000005219,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1826532,FL,pictureLabels,tobdepwugbim,NA,NA,image-button-response,486,NA,10375,3,high,dep,blue,exp
1,1803468,LF,pictureLabels,tobdepwugbim,1243.04500001017,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1800334,LF,pictureLabels,tobdepwugbim,1743,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1803487,FL,pictureLabels,tobdepwugbim,3367.08999995608,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1802991,FL,pictureLabels,tobdepwugbim,1310.27000001632,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1823753,LF,pictureLabels,tobdepwugbim,1775.5500000203,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1839497,LF,pictureLabels,tobdepwugbim,1670.84500007331,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1802161,LF,pictureLabels,tobdepwugbim,2200.29999999865,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1802095,FL,pictureLabels,tobdepwugbim,2183.77000000328,tob,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1825290,FL,pictureLabels,tobdepwugbim,2575.19499998307,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1803474,LF,pictureLabels,tobdepwugbim,2348.09999999998,bim,image-button-response,486,0,10375,3,high,dep,blue,exp
