resp,subjID,learning,task,fribbleID,label,rt,plugin,trialIndex,acc,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType
47,1802094,FL,labelPictures,52_47_51_12_,dep,1584.44000000053,html-button-response,552,1,470375,3,high,dep,blue,exp
47,1852272,LF,labelPictures,52_47_51_12_,dep,3252.46999999951,html-button-response,590,1,470375,3,high,dep,blue,exp
47,1851571,LF,labelPictures,52_47_51_12_,dep,1167.28000005241,html-button-response,580,1,470375,3,high,dep,blue,exp
47,1803484,FL,labelPictures,49_47_26_56_,dep,2233.60999999568,html-button-response,486,1,470375,3,high,dep,blue,exp
47,1824294,LF,labelPictures,49_47_26_56_,dep,2002,html-button-response,538,1,470375,3,high,dep,blue,exp
47,1839502,LF,labelPictures,52_47_51_12_,dep,1000.03999999899,html-button-response,490,1,470375,3,high,dep,blue,exp
47,1823770,FL,labelPictures,52_47_51_12_,dep,2155,html-button-response,494,1,470375,3,high,dep,blue,exp
47,1851571,LF,labelPictures,49_47_26_56_,dep,1980.84500001278,html-button-response,522,1,470375,3,high,dep,blue,exp
47,1802100,LF,labelPictures,52_47_51_12_,dep,1130.58500003535,html-button-response,502,1,470375,3,high,dep,blue,exp
47,1798885,LF,labelPictures,49_47_26_56_,dep,1754.79999999516,html-button-response,518,1,470375,3,high,dep,blue,exp
47,1805815,FL,labelPictures,52_47_51_12_,dep,1297.40500007756,html-button-response,560,1,470375,3,high,dep,blue,exp
47,1851568,LF,labelPictures,49_47_26_56_,dep,344.949999998789,html-button-response,578,1,470375,3,high,dep,blue,exp
47,1800351,FL,labelPictures,52_47_51_12_,dep,2500.62499998603,html-button-response,498,1,470375,3,high,dep,blue,exp
47,1845993,FL,labelPictures,44_47_51_49_,tob,1122.74500000058,html-button-response,580,0,470375,3,high,dep,blue,exp
47,1826942,FL,labelPictures,52_47_51_12_,dep,2200.51500000048,html-button-response,554,1,470375,3,high,dep,blue,exp
47,1826984,FL,labelPictures,49_47_26_56_,dep,2213.91000002041,html-button-response,524,1,470375,3,high,dep,blue,exp
47,1845200,LF,labelPictures,44_47_51_49_,tob,1598.96999993362,html-button-response,534,0,470375,3,high,dep,blue,exp
47,1800351,FL,labelPictures,49_47_26_56_,dep,1795.13500002213,html-button-response,540,1,470375,3,high,dep,blue,exp
47,1851571,LF,labelPictures,49_47_26_56_,dep,1588.6650000466,html-button-response,564,1,470375,3,high,dep,blue,exp
47,1845196,LF,labelPictures,47_56_3_7_,wug,1959.85999999905,html-button-response,532,0,470375,3,high,dep,blue,exp
47,1823745,LF,labelPictures,49_47_26_56_,dep,622.325000003912,html-button-response,520,1,470375,3,high,dep,blue,exp
47,1851570,LF,labelPictures,44_47_51_49_,tob,2698.79500000027,html-button-response,556,0,470375,3,high,dep,blue,exp
47,1800330,LF,labelPictures,52_47_51_12_,dep,1621.18500005454,html-button-response,486,1,470375,3,high,dep,blue,exp
47,1826948,FL,labelPictures,49_47_26_56_,dep,2343.63499999745,html-button-response,528,1,470375,3,high,dep,blue,exp
47,1825245,FL,labelPictures,52_47_51_12_,dep,3139.69999994151,html-button-response,494,1,470375,3,high,dep,blue,exp
47,1851573,LF,labelPictures,52_47_51_12_,dep,721.110000005865,html-button-response,556,1,470375,3,high,dep,blue,exp
47,1845993,FL,labelPictures,49_47_26_56_,dep,1151.5800000052,html-button-response,554,1,470375,3,high,dep,blue,exp
47,1826934,FL,labelPictures,49_47_26_56_,dep,1058.15500000061,html-button-response,548,1,470375,3,high,dep,blue,exp
47,1805815,FL,labelPictures,49_47_26_56_,dep,1791.99499986134,html-button-response,522,1,470375,3,high,dep,blue,exp
47,1803017,LF,labelPictures,49_47_26_56_,dep,1701.51999988593,html-button-response,508,1,470375,3,high,dep,blue,exp
47,1805848,LF,labelPictures,47_56_3_7_,wug,1591.3949999999,html-button-response,578,0,470375,3,high,dep,blue,exp
47,1852242,LF,labelPictures,52_47_51_12_,dep,1318.14499999746,html-button-response,496,1,470375,3,high,dep,blue,exp
47,1828968,LF,labelPictures,49_47_26_56_,dep,2922.74000006728,html-button-response,514,1,470375,3,high,dep,blue,exp
47,1805816,LF,labelPictures,52_47_51_12_,dep,1971.48500000185,html-button-response,494,1,470375,3,high,dep,blue,exp
47,1827347,FL,labelPictures,52_47_51_12_,dep,2441.57999986783,html-button-response,532,1,470375,3,high,dep,blue,exp
47,1839502,LF,labelPictures,52_47_51_12_,dep,1337.5699999996,html-button-response,596,1,470375,3,high,dep,blue,exp
47,1802184,FL,labelPictures,52_47_51_12_,dep,3122.00000000303,html-button-response,504,1,470375,3,high,dep,blue,exp
47,1802094,FL,labelPictures,52_47_51_12_,dep,800.160000000615,html-button-response,548,1,470375,3,high,dep,blue,exp
47,1826924,LF,labelPictures,49_47_26_56_,dep,1444.56499998341,html-button-response,502,1,470375,3,high,dep,blue,exp
47,1827036,LF,labelPictures,49_47_26_56_,dep,1363.99999999988,html-button-response,588,1,470375,3,high,dep,blue,exp
47,1800338,FL,labelPictures,52_47_51_12_,dep,2130.79999998445,html-button-response,592,1,470375,3,high,dep,blue,exp
47,1828961,FL,labelPictures,47_56_3_7_,wug,2236.70500004664,html-button-response,548,0,470375,3,high,dep,blue,exp
47,1839564,LF,labelPictures,52_47_51_12_,dep,1409,html-button-response,562,1,470375,3,high,dep,blue,exp
47,1846093,LF,labelPictures,47_56_3_7_,wug,892.959999851882,html-button-response,508,0,470375,3,high,dep,blue,exp
47,1807533,LF,labelPictures,52_47_51_12_,dep,1481.15999996662,html-button-response,566,1,470375,3,high,dep,blue,exp
47,1802984,LF,labelPictures,49_47_26_56_,dep,1065.00499998219,html-button-response,498,1,470375,3,high,dep,blue,exp
47,1826946,FL,labelPictures,52_47_51_12_,dep,3080.34999999974,html-button-response,554,1,470375,3,high,dep,blue,exp
47,1802090,FL,labelPictures,47_56_3_7_,wug,1096.45499999169,html-button-response,512,0,470375,3,high,dep,blue,exp
47,1802093,LF,labelPictures,52_47_51_12_,dep,2124.03000000631,html-button-response,538,1,470375,3,high,dep,blue,exp
47,1829030,FL,labelPictures,52_47_51_12_,dep,3047.47499999939,html-button-response,562,1,470375,3,high,dep,blue,exp
47,1826984,FL,labelPictures,52_47_51_12_,dep,842.395000014221,html-button-response,516,1,470375,3,high,dep,blue,exp
47,1839500,LF,labelPictures,49_47_26_56_,dep,993.729999987409,html-button-response,524,1,470375,3,high,dep,blue,exp
47,1827347,FL,labelPictures,49_47_26_56_,dep,3008.69500008412,html-button-response,588,1,470375,3,high,dep,blue,exp
47,1839500,LF,labelPictures,52_47_51_12_,dep,1205.85000002757,html-button-response,498,1,470375,3,high,dep,blue,exp
47,1803465,FL,labelPictures,49_47_26_56_,dep,1262.90500001051,html-button-response,488,1,470375,3,high,dep,blue,exp
47,1852726,LF,labelPictures,52_47_51_12_,dep,1444.71500001964,html-button-response,522,1,470375,3,high,dep,blue,exp
47,1802108,LF,labelPictures,47_56_3_7_,wug,2142,html-button-response,588,0,470375,3,high,dep,blue,exp
47,1826990,FL,labelPictures,52_47_51_12_,dep,2101.97000007611,html-button-response,488,1,470375,3,high,dep,blue,exp
47,1825225,LF,labelPictures,44_47_51_49_,tob,1483.38000001968,html-button-response,588,0,470375,3,high,dep,blue,exp
47,1800351,FL,labelPictures,49_47_26_56_,dep,1481.68999992777,html-button-response,586,1,470375,3,high,dep,blue,exp
47,1826960,LF,labelPictures,52_47_51_12_,dep,1366.36499990709,html-button-response,564,1,470375,3,high,dep,blue,exp
47,1828965,LF,labelPictures,49_47_26_56_,dep,2268.14499999455,html-button-response,504,1,470375,3,high,dep,blue,exp
47,1839499,FL,labelPictures,49_47_26_56_,dep,3199.30500000191,html-button-response,534,1,470375,3,high,dep,blue,exp
47,1851567,LF,labelPictures,52_47_51_12_,dep,1103.08000000077,html-button-response,510,1,470375,3,high,dep,blue,exp
47,1839506,FL,labelPictures,49_47_26_56_,dep,964.730000006966,html-button-response,574,1,470375,3,high,dep,blue,exp
47,1803484,FL,labelPictures,49_47_26_56_,dep,2185.68999995477,html-button-response,498,1,470375,3,high,dep,blue,exp
47,1802985,FL,labelPictures,52_47_51_12_,dep,1702.93500000029,html-button-response,596,1,470375,3,high,dep,blue,exp
47,1826536,FL,labelPictures,52_47_51_12_,dep,1403.99500000058,html-button-response,590,1,470375,3,high,dep,blue,exp
47,1829030,FL,labelPictures,47_56_3_7_,wug,1224.94000000006,html-button-response,538,0,470375,3,high,dep,blue,exp
47,1826963,LF,labelPictures,52_47_51_12_,dep,1069.14500007406,html-button-response,566,1,470375,3,high,dep,blue,exp
47,1825245,FL,labelPictures,47_56_3_7_,wug,2467.79999998398,html-button-response,502,0,470375,3,high,dep,blue,exp
47,1800346,LF,labelPictures,52_47_51_12_,dep,1308,html-button-response,564,1,470375,3,high,dep,blue,exp
47,1828959,LF,labelPictures,49_47_26_56_,dep,2043.38999997708,html-button-response,500,1,470375,3,high,dep,blue,exp
47,1825230,FL,labelPictures,52_47_51_12_,dep,2500.86999998894,html-button-response,544,1,470375,3,high,dep,blue,exp
47,1825231,LF,labelPictures,49_47_26_56_,dep,2344.66999999859,html-button-response,526,1,470375,3,high,dep,blue,exp
47,1807583,LF,labelPictures,49_47_26_56_,dep,2828.71500006877,html-button-response,486,1,470375,3,high,dep,blue,exp
47,1825245,FL,labelPictures,49_47_26_56_,dep,2655.99999995902,html-button-response,522,1,470375,3,high,dep,blue,exp
47,1846268,FL,labelPictures,49_47_26_56_,dep,1909.53999990597,html-button-response,590,1,470375,3,high,dep,blue,exp
47,1845993,FL,labelPictures,49_47_26_56_,dep,1176.61000002408,html-button-response,494,1,470375,3,high,dep,blue,exp
47,1851567,LF,labelPictures,47_56_3_7_,wug,291.994999999588,html-button-response,594,0,470375,3,high,dep,blue,exp
47,1826938,LF,labelPictures,49_47_26_56_,dep,1152.80999999959,html-button-response,596,1,470375,3,high,dep,blue,exp
47,1826957,FL,labelPictures,49_47_26_56_,dep,1851.56500001904,html-button-response,538,1,470375,3,high,dep,blue,exp
47,1807547,FL,labelPictures,49_47_26_56_,dep,1176.7300000065,html-button-response,502,1,470375,3,high,dep,blue,exp
47,1826939,LF,labelPictures,52_47_51_12_,dep,1008.75000003725,html-button-response,566,1,470375,3,high,dep,blue,exp
47,1800337,FL,labelPictures,49_47_26_56_,dep,2817,html-button-response,512,1,470375,3,high,dep,blue,exp
47,1851566,LF,labelPictures,52_47_51_12_,dep,1322,html-button-response,578,1,470375,3,high,dep,blue,exp
47,1805884,LF,labelPictures,52_47_51_12_,dep,2841.98999998625,html-button-response,494,1,470375,3,high,dep,blue,exp
47,1825245,FL,labelPictures,49_47_26_56_,dep,3157.20000001602,html-button-response,542,1,470375,3,high,dep,blue,exp
47,1826939,LF,labelPictures,52_47_51_12_,dep,1699.52999986708,html-button-response,490,1,470375,3,high,dep,blue,exp
47,1803558,LF,labelPictures,49_47_26_56_,dep,1183.53999999817,html-button-response,504,1,470375,3,high,dep,blue,exp
47,1807546,LF,labelPictures,44_47_51_49_,tob,1267.28499995079,html-button-response,572,0,470375,3,high,dep,blue,exp
47,1826946,FL,labelPictures,47_56_3_7_,wug,2472.18999999994,html-button-response,580,0,470375,3,high,dep,blue,exp
47,1803478,LF,labelPictures,52_47_51_12_,dep,966.930000000517,html-button-response,566,1,470375,3,high,dep,blue,exp
47,1802107,FL,labelPictures,52_47_51_12_,dep,2529.73500010557,html-button-response,594,1,470375,3,high,dep,blue,exp
47,1802987,LF,labelPictures,52_47_51_12_,dep,1372.83000000019,html-button-response,580,1,470375,3,high,dep,blue,exp
47,1823789,LF,labelPictures,49_47_26_56_,dep,2751.46500000847,html-button-response,542,1,470375,3,high,dep,blue,exp
47,1839506,FL,labelPictures,52_47_51_12_,dep,1299.66999997851,html-button-response,558,1,470375,3,high,dep,blue,exp
47,1803475,LF,labelPictures,52_47_51_12_,dep,1515.60499999323,html-button-response,578,1,470375,3,high,dep,blue,exp
47,1800333,LF,labelPictures,44_47_51_49_,tob,1178.14999999973,html-button-response,532,0,470375,3,high,dep,blue,exp
47,1826934,FL,labelPictures,52_47_51_12_,dep,1580.28499999997,html-button-response,510,1,470375,3,high,dep,blue,exp
47,1851782,LF,labelPictures,44_47_51_49_,tob,925.750000053085,html-button-response,580,0,470375,3,high,dep,blue,exp
47,1800338,FL,labelPictures,49_47_26_56_,dep,1621.55499996152,html-button-response,526,1,470375,3,high,dep,blue,exp
47,1846268,FL,labelPictures,47_56_3_7_,wug,2493.53999993764,html-button-response,560,0,470375,3,high,dep,blue,exp
47,1823745,LF,labelPictures,49_47_26_56_,dep,135.464999999385,html-button-response,516,1,470375,3,high,dep,blue,exp
47,1852721,LF,labelPictures,49_47_26_56_,dep,1337,html-button-response,516,1,470375,3,high,dep,blue,exp
47,1828947,FL,labelPictures,49_47_26_56_,dep,792.850000027101,html-button-response,592,1,470375,3,high,dep,blue,exp
47,1802100,LF,labelPictures,52_47_51_12_,dep,1057.14499996975,html-button-response,584,1,470375,3,high,dep,blue,exp
47,1845984,LF,labelPictures,52_47_51_12_,dep,1262.00000000244,html-button-response,586,1,470375,3,high,dep,blue,exp
47,1852241,LF,labelPictures,49_47_26_56_,dep,1218,html-button-response,594,1,470375,3,high,dep,blue,exp
47,1826960,LF,labelPictures,49_47_26_56_,dep,1260.95000002533,html-button-response,582,1,470375,3,high,dep,blue,exp
47,1807533,LF,labelPictures,49_47_26_56_,dep,1057.63000017032,html-button-response,590,1,470375,3,high,dep,blue,exp
47,1824290,FL,labelPictures,52_47_51_12_,dep,2377.41000001552,html-button-response,576,1,470375,3,high,dep,blue,exp
47,1851569,FL,labelPictures,52_47_51_12_,dep,626.999999999884,html-button-response,570,1,470375,3,high,dep,blue,exp
47,1851569,FL,labelPictures,52_47_51_12_,dep,1078.99999999988,html-button-response,568,1,470375,3,high,dep,blue,exp
47,1826962,FL,labelPictures,52_47_51_12_,dep,944.545000000275,html-button-response,544,1,470375,3,high,dep,blue,exp
47,1823763,FL,labelPictures,52_47_51_12_,dep,1977.18500008341,html-button-response,544,1,470375,3,high,dep,blue,exp
47,1826939,LF,labelPictures,49_47_26_56_,dep,1702.01499992982,html-button-response,546,1,470375,3,high,dep,blue,exp
47,1852241,LF,labelPictures,52_47_51_12_,dep,1883.00000000006,html-button-response,536,1,470375,3,high,dep,blue,exp
47,1825229,FL,labelPictures,52_47_51_12_,dep,1789.99999999994,html-button-response,546,1,470375,3,high,dep,blue,exp
47,1803026,FL,labelPictures,52_47_51_12_,dep,3229.41500006709,html-button-response,540,1,470375,3,high,dep,blue,exp
47,1828971,FL,labelPictures,52_47_51_12_,dep,1600,html-button-response,512,1,470375,3,high,dep,blue,exp
47,1828965,LF,labelPictures,52_47_51_12_,dep,1798.9799999923,html-button-response,494,1,470375,3,high,dep,blue,exp
47,1802117,LF,labelPictures,49_47_26_56_,dep,935,html-button-response,582,1,470375,3,high,dep,blue,exp
47,1826950,LF,labelPictures,52_47_51_12_,dep,1977.97999996692,html-button-response,570,1,470375,3,high,dep,blue,exp
47,1852721,LF,labelPictures,52_47_51_12_,dep,2459,html-button-response,524,1,470375,3,high,dep,blue,exp
47,1802100,LF,labelPictures,49_47_26_56_,dep,1151.74499998102,html-button-response,572,1,470375,3,high,dep,blue,exp
47,1839502,LF,labelPictures,49_47_26_56_,dep,1839.31499999925,html-button-response,540,1,470375,3,high,dep,blue,exp
47,1800340,LF,labelPictures,47_56_3_7_,wug,1816.01499998942,html-button-response,558,0,470375,3,high,dep,blue,exp
47,1845993,FL,labelPictures,52_47_51_12_,dep,2919.56000000937,html-button-response,566,1,470375,3,high,dep,blue,exp
47,1826533,FL,labelPictures,49_47_26_56_,dep,1304.67500002123,html-button-response,580,1,470375,3,high,dep,blue,exp
47,1803466,LF,labelPictures,52_47_51_12_,dep,1190.40000002133,html-button-response,550,1,470375,3,high,dep,blue,exp
47,1802164,LF,labelPictures,52_47_51_12_,dep,1328.60000000033,html-button-response,524,1,470375,3,high,dep,blue,exp
47,1798877,LF,labelPictures,52_47_51_12_,dep,1705.69999993313,html-button-response,494,1,470375,3,high,dep,blue,exp
47,1826960,LF,labelPictures,52_47_51_12_,dep,1103.92999998294,html-button-response,536,1,470375,3,high,dep,blue,exp
47,1802100,LF,labelPictures,49_47_26_56_,dep,2057.26000003051,html-button-response,554,1,470375,3,high,dep,blue,exp
47,1802088,FL,labelPictures,49_47_26_56_,dep,1219.10000000027,html-button-response,510,1,470375,3,high,dep,blue,exp
47,1825230,FL,labelPictures,52_47_51_12_,dep,1248.87000001036,html-button-response,530,1,470375,3,high,dep,blue,exp
47,1845983,FL,labelPictures,49_47_26_56_,dep,1792.00000000006,html-button-response,564,1,470375,3,high,dep,blue,exp
47,1839502,LF,labelPictures,49_47_26_56_,dep,2331.88500000141,html-button-response,486,1,470375,3,high,dep,blue,exp
47,1800338,FL,labelPictures,49_47_26_56_,dep,1713.8649999979,html-button-response,532,1,470375,3,high,dep,blue,exp
47,1800337,FL,labelPictures,49_47_26_56_,dep,1347,html-button-response,494,1,470375,3,high,dep,blue,exp
47,1802093,LF,labelPictures,52_47_51_12_,dep,2253.18499997957,html-button-response,550,1,470375,3,high,dep,blue,exp
47,1826962,FL,labelPictures,52_47_51_12_,dep,1194.08999999997,html-button-response,516,1,470375,3,high,dep,blue,exp
47,1802098,FL,labelPictures,49_47_26_56_,dep,1333.35500000976,html-button-response,568,1,470375,3,high,dep,blue,exp
47,1798877,LF,labelPictures,49_47_26_56_,dep,1990.20000000019,html-button-response,498,1,470375,3,high,dep,blue,exp
47,1826534,FL,labelPictures,52_47_51_12_,dep,1915.19499995047,html-button-response,496,1,470375,3,high,dep,blue,exp
