,Estimate,Std. Error,z value,Pr(>|z|),n,BF,is_sing,conv_error,loopNumber
correctFrequencyhigh:learning.ct30,-1.1564,1.5088,-0.7664,0.4434,179,0.561646513,N,N,60
correctFrequencylow:learning.ct30,-1.719,1.1932,-1.4407,0.1497,179,0.370708337,N,N,60
(Intercept)113,1.0305,0.4366,2.3601,0.0183,159,NA,N,N,60
correctFrequency.ct113,-2.8663,0.5709,-5.0209,0,159,52931.88708,N,N,60
learning.ct113,-0.8615,0.8596,-1.0021,0.3163,159,0.518527289,N,N,60
correctFrequency.ct:learning.ct113,-0.1193,1.1089,-0.1076,0.9143,159,0.69239282,N,N,60
correctFrequencyhigh:learning.ct113,0.721,0.9712,0.7424,0.4579,159,1.073463994,N,N,60
correctFrequencylow:learning.ct113,0.5807,0.6792,0.8549,0.3926,159,1.011772904,N,N,60
(Intercept)211,1.2348,0.5084,2.4288,0.0152,139,NA,N,N,60
correctFrequency.ct211,-4.0543,1.2354,-3.2817,0.001,139,39.79968865,N,N,60
learning.ct211,0.201,0.8702,0.231,0.8173,139,0.894082228,N,N,60
correctFrequency.ct:learning.ct211,-0.9914,2.2394,-0.4427,0.658,139,0.788971991,N,N,60
correctFrequencyhigh:learning.ct211,-0.8018,1.2077,-0.6639,0.5067,139,0.512885473,N,N,60
correctFrequencylow:learning.ct211,-0.9211,0.796,-1.1572,0.2472,139,0.300334179,N,N,60
(Intercept)39,0.7222,0.4328,1.6686,0.0952,119,NA,N,N,60
correctFrequency.ct39,-4.4225,0.8559,-5.1672,0,119,38015.3605,N,N,60
learning.ct39,0.6055,0.7773,0.7789,0.436,119,1.199208619,N,N,60
correctFrequency.ct:learning.ct39,-1.5794,1.5389,-1.0263,0.3047,119,0.556540241,N,N,60
correctFrequencyhigh:learning.ct39,0.6968,1.8434,0.378,0.7054,119,0.998755432,N,N,60
correctFrequencylow:learning.ct39,-0.2947,0.7919,-0.3721,0.7098,119,0.443759199,N,N,60
(Intercept)49,0.0291,0.2461,0.1181,0.906,99,NA,N,N,60
correctFrequency.ct49,-4.4072,0.6865,-6.4201,0,99,37152133.69,N,N,60
learning.ct49,-0.1215,0.4672,-0.26,0.7948,99,0.492612484,N,N,60
correctFrequency.ct:learning.ct49,0.0218,1.3434,0.0162,0.987,99,0.800278438,N,N,60
correctFrequencyhigh:learning.ct49,1.3952,1.3179,1.0586,0.2898,99,1.452119352,N,N,60
correctFrequencylow:learning.ct49,-0.1843,0.8099,-0.2275,0.82,99,0.491238316,N,N,60
(Intercept)59,1.8103,0.7547,2.3989,0.0164,79,NA,N,N,60
correctFrequency.ct59,-5.6635,1.2285,-4.6103,0,79,1262.748884,N,N,60
learning.ct59,-0.842,1.2744,-0.6608,0.5088,79,0.708490999,N,N,60
correctFrequency.ct:learning.ct59,-0.5266,1.8435,-0.2857,0.7751,79,0.784249662,N,N,60
correctFrequencyhigh:learning.ct59,-0.1324,0.857,-0.1545,0.8772,79,0.534263612,N,N,60
correctFrequencylow:learning.ct59,-0.1106,0.7775,-0.1422,0.8869,79,0.502697093,N,N,60
(Intercept)69,0.7309,0.2586,2.8269,0.0047,59,NA,N,N,60
correctFrequency.ct69,-2.8416,0.4175,-6.8066,0,59,1467152742,N,N,60
learning.ct69,0.3691,0.5021,0.7351,0.4623,59,1.035613141,N,N,60
correctFrequency.ct:learning.ct69,0.9143,0.799,1.1444,0.2525,59,1.506306159,N,N,60
correctFrequencyhigh:learning.ct69,-0.5787,1.7209,-0.3363,0.7367,59,0.713699419,N,N,60
correctFrequencylow:learning.ct69,-1.1053,1.4107,-0.7836,0.4333,59,0.536340889,N,N,60
(Intercept)79,0.8103,0.1905,4.254,0,39,NA,N,N,60
correctFrequency.ct79,-2.8013,0.3464,-8.0868,0,39,1.73E+13,N,N,60
learning.ct79,-0.9156,0.3701,-2.474,0.0134,39,0.156937621,N,N,60
correctFrequency.ct:learning.ct79,-0.1101,0.6693,-0.1645,0.8693,39,0.490749222,N,N,60
correctFrequencyhigh:learning.ct79,-0.0881,0.7717,-0.1141,0.9091,39,0.508960923,N,N,60
correctFrequencylow:learning.ct79,0.8262,0.4771,1.732,0.0833,39,2.569449875,N,N,60
(Intercept)89,0.4609,0.2936,1.5698,0.1165,19,NA,N,N,60
correctFrequency.ct89,-3.7501,0.5059,-7.4121,0,19,52276199433,N,N,60
