,Estimate,Std. Error,z value,Pr(>|z|),n,BF,is_sing,conv_error,loopNumber
correctFrequency.ct148,-3.4719,0.4912,-7.0677,0,159,5727010245,N,N,30
learning.ct148,0.2562,0.3885,0.6594,0.5097,159,0.852936554,N,N,30
correctFrequency.ct:learning.ct148,-0.277,0.9661,-0.2868,0.7743,159,0.584244904,N,N,30
correctFrequencyhigh:learning.ct148,0.3008,1.0866,0.2768,0.7819,159,0.80357506,N,N,30
correctFrequencylow:learning.ct148,-0.8918,0.8169,-1.0916,0.275,159,0.315935887,N,N,30
(Intercept)241,0.5996,0.3115,1.925,0.0542,139,NA,N,N,30
correctFrequency.ct241,-4.1175,0.8286,-4.9694,0,139,18890.27991,N,N,30
learning.ct241,0.8475,0.5459,1.5524,0.1206,139,2.302720357,N,N,30
correctFrequency.ct:learning.ct241,-1.7657,1.5524,-1.1374,0.2554,139,0.538554186,N,N,30
correctFrequencyhigh:learning.ct241,0.3947,0.6211,0.6355,0.5251,139,0.778475305,N,N,30
correctFrequencylow:learning.ct241,0.1177,0.6188,0.1901,0.8492,139,0.534998695,N,N,30
(Intercept)339,1.1606,0.5103,2.2745,0.0229,119,NA,N,N,30
correctFrequency.ct339,-3.851,0.7724,-4.9859,0,119,24700.47575,N,N,30
learning.ct339,-1.0906,0.9831,-1.1094,0.2673,119,0.540039202,N,N,30
correctFrequency.ct:learning.ct339,1.9203,1.4391,1.3344,0.1821,119,1.716520397,N,N,30
correctFrequencyhigh:learning.ct339,1.7303,1.1027,1.5692,0.1166,119,2.300611116,N,N,30
correctFrequencylow:learning.ct339,-0.0354,0.7648,-0.0463,0.9631,119,0.528375093,N,N,30
(Intercept)439,1.1808,0.5009,2.3575,0.0184,99,NA,N,N,30
correctFrequency.ct439,-4.2833,1.0347,-4.1398,0,99,540.8132528,N,N,30
learning.ct439,0.108,0.8961,0.1205,0.9041,99,0.853524839,N,N,30
correctFrequency.ct:learning.ct439,0.7183,1.8661,0.3849,0.7003,99,1.022166789,N,N,30
correctFrequencyhigh:learning.ct439,-2.0508,1.3725,-1.4942,0.1351,99,0.403347827,N,N,30
correctFrequencylow:learning.ct439,-0.1304,1.0413,-0.1253,0.9003,99,0.61563924,N,N,30
(Intercept)539,0.7495,0.3026,2.4768,0.0133,79,NA,N,N,30
correctFrequency.ct539,-3.5301,0.4674,-7.5522,0,79,1.74E+11,N,N,30
learning.ct539,0.0156,0.5896,0.0264,0.9789,79,0.677476372,N,N,30
correctFrequency.ct:learning.ct539,-1.4971,0.8954,-1.6719,0.0946,79,0.302477058,N,N,30
correctFrequencyhigh:learning.ct539,-0.2512,1.5248,-0.1647,0.8691,79,0.731575369,N,N,30
correctFrequencylow:learning.ct539,0.4671,1.0119,0.4617,0.6443,79,0.882053924,N,N,30
(Intercept)639,1.0663,0.3448,3.0927,0.002,59,NA,N,N,30
correctFrequency.ct639,-3.9506,0.6624,-5.964,0,59,3695879.804,N,N,30
learning.ct639,-1.3402,0.6174,-2.1709,0.0299,59,0.272437863,N,N,30
correctFrequency.ct:learning.ct639,1.9766,1.1789,1.6767,0.0936,59,2.39131317,N,N,30
correctFrequencyhigh:learning.ct639,0.7641,0.8327,0.9177,0.3588,59,1.180737948,N,N,30
correctFrequencylow:learning.ct639,-0.733,0.6349,-1.1544,0.2483,59,0.247230708,N,N,30
(Intercept)739,0.6138,0.34,1.8053,0.071,39,NA,N,N,30
correctFrequency.ct739,-4.0237,0.6431,-6.257,0,39,19367227.24,N,N,30
learning.ct739,-0.4641,0.6231,-0.7448,0.4564,39,0.468556944,N,N,30
correctFrequency.ct:learning.ct739,0.9264,1.1697,0.792,0.4284,39,1.203944784,N,N,30
correctFrequencyhigh:learning.ct739,-2.3285,1.0496,-2.2185,0.0265,39,0.257204536,N,N,30
correctFrequencylow:learning.ct739,-0.3519,0.5961,-0.5904,0.5549,39,0.31129833,N,N,30
(Intercept)839,0.7704,0.4095,1.8814,0.0599,19,NA,N,N,30
correctFrequency.ct839,-4.3791,0.886,-4.9426,0,19,13748.36149,N,N,30
learning.ct839,-0.2167,0.7688,-0.2819,0.778,19,0.659920748,N,N,30
correctFrequency.ct:learning.ct839,-0.5311,1.6842,-0.3153,0.7525,19,0.752223237,N,N,30
correctFrequencyhigh:learning.ct839,-0.9273,1.0539,-0.8799,0.3789,19,0.42388172,N,N,30
correctFrequencylow:learning.ct839,-9.00E-04,0.592,-0.0015,0.9988,19,0.449038388,N,N,30
140,NA,NA,NA,NA,NA,NA,NA,NA,31
(Intercept)149,0.423,0.2857,1.4804,0.1388,179,NA,N,N,31
correctFrequency.ct149,-3.8392,0.628,-6.1132,0,179,9608433.124,N,N,31
learning.ct149,-0.3139,0.5483,-0.5726,0.5669,179,0.465528699,N,N,31
correctFrequency.ct:learning.ct149,0.2522,1.2149,0.2076,0.8356,179,0.852155558,N,N,31
correctFrequencyhigh:learning.ct149,0.0488,1.2967,0.0377,0.97,179,0.755280316,N,N,31
correctFrequencylow:learning.ct149,-0.4823,0.9592,-0.5028,0.6151,179,0.475065633,N,N,31
(Intercept)150,1.0718,0.4313,2.485,0.013,159,NA,N,N,31
correctFrequency.ct150,-4.4187,0.7238,-6.1048,0,159,5570663.152,N,N,31
learning.ct150,1.1643,0.7882,1.4772,0.1396,159,1.989855021,N,N,31
correctFrequency.ct:learning.ct150,-1.8101,1.2727,-1.4222,0.155,159,0.431398718,N,N,31
correctFrequencyhigh:learning.ct150,-0.4401,0.9932,-0.4431,0.6577,159,0.502021938,N,N,31
correctFrequencylow:learning.ct150,-0.1878,0.5936,-0.3164,0.7517,159,0.364890122,N,N,31
(Intercept)242,0.9456,0.4393,2.1526,0.0314,139,NA,N,N,31
correctFrequency.ct242,-4.7494,0.7226,-6.5723,0,139,69102488.58,N,N,31
learning.ct242,-0.7086,0.8124,-0.8722,0.3831,139,0.526717496,N,N,31
correctFrequency.ct:learning.ct242,-1.2145,1.2861,-0.9443,0.345,139,0.51660004,N,N,31
correctFrequencyhigh:learning.ct242,2.0693,1.2867,1.6082,0.1078,139,2.289916762,N,N,31
correctFrequencylow:learning.ct242,0.2593,0.6299,0.4116,0.6806,139,0.646329785,N,N,31
(Intercept)340,1.0582,0.4118,2.5697,0.0102,119,NA,N,N,31
correctFrequency.ct340,-3.9452,0.592,-6.6639,0,119,262863310.3,N,N,31
learning.ct340,0.1975,0.7749,0.2548,0.7988,119,0.873313588,N,N,31
correctFrequency.ct:learning.ct340,0.7017,1.0624,0.6606,0.5089,119,1.080574348,N,N,31
correctFrequencyhigh:learning.ct340,-0.1014,1.1514,-0.0881,0.9298,119,0.665266985,N,N,31
correctFrequencylow:learning.ct340,-1.3159,0.9064,-1.4517,0.1466,119,0.296401959,N,N,31
(Intercept)440,0.7997,0.3592,2.226,0.026,99,NA,N,N,31
correctFrequency.ct440,-4.4032,1.133,-3.8865,1.00E-04,99,207.2790677,N,N,31
learning.ct440,-0.358,0.6531,-0.5482,0.5836,99,0.529711953,N,N,31
correctFrequency.ct:learning.ct440,2.0227,2.1935,0.9221,0.3565,99,1.274914356,N,N,31
correctFrequencyhigh:learning.ct440,-0.1534,1.0435,-0.147,0.8831,99,0.608818028,N,N,31
correctFrequencylow:learning.ct440,0.5483,0.8218,0.6672,0.5046,99,0.940188361,N,N,31
(Intercept)540,1.0293,0.4419,2.3294,0.0198,79,NA,N,N,31
correctFrequency.ct540,-5.0279,0.747,-6.731,0,79,141876785.5,N,N,31
learning.ct540,-0.5523,0.7945,-0.6952,0.4869,79,0.558568615,N,N,31
correctFrequency.ct:learning.ct540,0.2145,1.2782,0.1678,0.8667,79,0.848942613,N,N,31
correctFrequencyhigh:learning.ct540,-1.3693,1.6922,-0.8092,0.4184,79,0.588319201,N,N,31
correctFrequencylow:learning.ct540,0.6533,0.6299,1.0372,0.2997,79,1.173229399,N,N,31
(Intercept)640,0.5791,0.3008,1.9254,0.0542,59,NA,N,N,31
correctFrequency.ct640,-2.6803,0.481,-5.5728,0,59,954438.1267,N,N,31
learning.ct640,0.2331,0.5924,0.3935,0.6939,59,0.858114443,N,N,31
correctFrequency.ct:learning.ct640,0.3658,0.9406,0.3889,0.6974,59,0.861825997,N,N,31
correctFrequencyhigh:learning.ct640,-0.6596,1.1242,-0.5867,0.5574,59,0.507515527,N,N,31
correctFrequencylow:learning.ct640,-0.4451,0.9028,-0.493,0.622,59,0.457290967,N,N,31
(Intercept)740,0.6058,0.3699,1.6379,0.1014,39,NA,N,N,31
correctFrequency.ct740,-2.9204,0.9038,-3.2312,0.0012,39,54.96932658,N,N,31
learning.ct740,-1.063,0.73,-1.4561,0.1454,39,0.394101271,N,N,31
correctFrequency.ct:learning.ct740,0.4831,1.7915,0.2697,0.7874,39,0.968391954,N,N,31
correctFrequencyhigh:learning.ct740,0.0503,0.8222,0.0611,0.9512,39,0.596128683,N,N,31
correctFrequencylow:learning.ct740,0.416,0.6843,0.608,0.5432,39,0.807460242,N,N,31
(Intercept)840,0.6306,0.4012,1.5718,0.116,19,NA,N,N,31
correctFrequency.ct840,-4.3395,0.7467,-5.8118,0,19,1132907.338,N,N,31
learning.ct840,0.2924,0.7453,0.3924,0.6948,19,0.933455721,N,N,31
correctFrequency.ct:learning.ct840,-1.2013,1.3741,-0.8742,0.382,19,0.551771787,N,N,31
correctFrequencyhigh:learning.ct840,-1.3045,1.2179,-1.0711,0.2841,19,0.433551688,N,N,31
correctFrequencylow:learning.ct840,-0.8214,1.0899,-0.7537,0.451,19,0.459657354,N,N,31
141,NA,NA,NA,NA,NA,NA,NA,NA,32
(Intercept)151,1.0338,0.3963,2.6084,0.0091,179,NA,N,N,32
correctFrequency.ct151,-4.3644,0.8409,-5.1902,0,179,44487.46971,N,N,32
learning.ct151,-0.6529,0.693,-0.9421,0.3461,179,0.462415134,N,N,32
correctFrequency.ct:learning.ct151,-0.2341,1.5005,-0.156,0.876,179,0.769897188,N,N,32
correctFrequencyhigh:learning.ct151,0.8931,1.176,0.7594,0.4476,179,1.149446572,N,N,32
correctFrequencylow:learning.ct151,-0.3082,0.8195,-0.3761,0.7069,179,0.454238721,N,N,32
(Intercept)152,0.5551,0.2693,2.0611,0.0393,159,NA,N,N,32
correctFrequency.ct152,-3.7723,0.5023,-7.5094,0,159,1.04E+11,N,N,32
learning.ct152,1.0486,0.5191,2.0199,0.0434,159,4.109964681,N,N,32
correctFrequency.ct:learning.ct152,0.2985,0.9627,0.31,0.7565,159,0.826476936,N,N,32
correctFrequencyhigh:learning.ct152,-0.5358,1.3264,-0.404,0.6862,159,0.61137381,N,N,32
correctFrequencylow:learning.ct152,-0.7699,0.5696,-1.3518,0.1764,159,0.205409095,N,N,32
(Intercept)243,0.502,0.2951,1.7012,0.0889,139,NA,N,N,32
correctFrequency.ct243,-4.3219,0.7193,-6.0084,0,139,3480499.667,N,N,32
learning.ct243,-0.9754,0.5342,-1.826,0.0678,139,0.269855874,N,N,32
correctFrequency.ct:learning.ct243,0.7665,1.3572,0.5648,0.5722,139,1.069876717,N,N,32
correctFrequencyhigh:learning.ct243,0.9145,0.8626,1.0602,0.289,139,1.367905554,N,N,32
correctFrequencylow:learning.ct243,1.2,0.5554,2.1605,0.0307,139,5.601544985,N,N,32
(Intercept)341,0.1304,0.3013,0.4327,0.6652,119,NA,N,N,32
correctFrequency.ct341,-2.8333,0.4924,-5.7536,0,119,2395321.344,N,N,32
learning.ct341,-0.1068,0.5955,-0.1794,0.8576,119,0.605055979,N,N,32
correctFrequency.ct:learning.ct341,-0.5213,0.9705,-0.5371,0.5912,119,0.516048884,N,N,32
correctFrequencyhigh:learning.ct341,-1.3587,0.95,-1.4302,0.1526,119,0.310774264,N,N,32
correctFrequencylow:learning.ct341,-0.5922,0.7676,-0.7715,0.4404,119,0.34933572,N,N,32
(Intercept)441,1.3545,0.5391,2.5124,0.012,99,NA,N,N,32
correctFrequency.ct441,-4.566,0.7337,-6.2235,0,99,9754848.367,N,N,32
learning.ct441,0.2922,1.018,0.287,0.7741,99,0.954857768,N,N,32
correctFrequency.ct:learning.ct441,-1.5677,1.2915,-1.2139,0.2248,99,0.468655652,N,N,32
correctFrequencyhigh:learning.ct441,0.1538,0.7301,0.2107,0.8331,99,0.611458298,N,N,32
correctFrequencylow:learning.ct441,-0.3674,0.8043,-0.4568,0.6478,99,0.428035245,N,N,32
(Intercept)541,0.5337,0.3104,1.7193,0.0856,79,NA,N,N,32
correctFrequency.ct541,-3.5211,0.5592,-6.2965,0,79,36776671.88,N,N,32
learning.ct541,0.8857,0.6093,1.4535,0.1461,79,2.055193627,N,N,32
correctFrequency.ct:learning.ct541,0.911,1.0943,0.8325,0.4051,79,1.226392957,N,N,32
correctFrequencyhigh:learning.ct541,1.076,1.2784,0.8417,0.4,79,1.237943444,N,N,32
correctFrequencylow:learning.ct541,-0.4917,1.1282,-0.4358,0.663,79,0.54756457,N,N,32
(Intercept)641,0.8451,0.3717,2.2736,0.023,59,NA,N,N,32
correctFrequency.ct641,-3.9136,0.8525,-4.5905,0,59,4075.562406,N,N,32
learning.ct641,-0.1009,0.6745,-0.1495,0.8811,59,0.659466863,N,N,32
correctFrequency.ct:learning.ct641,-1.8984,1.5878,-1.1956,0.2319,59,0.53511211,N,N,32
correctFrequencyhigh:learning.ct641,0.4302,0.9295,0.4628,0.6435,59,0.849002198,N,N,32
correctFrequencylow:learning.ct641,1.3412,0.6907,1.9419,0.0522,59,3.915524813,N,N,32
(Intercept)741,1.3788,0.4215,3.2711,0.0011,39,NA,N,N,32
correctFrequency.ct741,-5.3677,0.8285,-6.479,0,39,20363885.03,N,N,32
learning.ct741,-0.7801,0.7422,-1.0511,0.2932,39,0.46351844,N,N,32
correctFrequency.ct:learning.ct741,2.4375,1.4569,1.6731,0.0943,39,2.166298027,N,N,32
correctFrequencyhigh:learning.ct741,0.8483,1.3354,0.6352,0.5253,39,1.085372604,N,N,32
correctFrequencylow:learning.ct741,-1.0501,0.6227,-1.6863,0.0917,39,0.194417216,N,N,32
(Intercept)841,0.5447,0.3274,1.6637,0.0962,19,NA,N,N,32
correctFrequency.ct841,-3.4034,0.6855,-4.9651,0,19,30112.19122,N,N,32
learning.ct841,-0.2271,0.6414,-0.3541,0.7233,19,0.576338587,N,N,32
correctFrequency.ct:learning.ct841,0.3773,1.3476,0.28,0.7795,19,0.915064617,N,N,32
correctFrequencyhigh:learning.ct841,-1.9989,1.1598,-1.7235,0.0848,19,0.32811396,N,N,32
correctFrequencylow:learning.ct841,0.4386,0.9043,0.485,0.6277,19,0.851705013,N,N,32
142,NA,NA,NA,NA,NA,NA,NA,NA,33
(Intercept)153,1.042,0.4871,2.1392,0.0324,179,NA,N,N,33
correctFrequency.ct153,-4.7331,0.8004,-5.9135,0,179,1402087.309,N,N,33
learning.ct153,-0.2548,0.8746,-0.2913,0.7708,179,0.698289611,N,N,33
correctFrequency.ct:learning.ct153,-0.0187,1.3519,-0.0138,0.989,179,0.790562367,N,N,33
correctFrequencyhigh:learning.ct153,-0.4158,0.978,-0.4251,0.6707,179,0.501496342,N,N,33
correctFrequencylow:learning.ct153,-0.0384,0.8799,-0.0437,0.9652,179,0.582286005,N,N,33
(Intercept)154,0.5398,0.3055,1.7669,0.0773,159,NA,N,N,33
correctFrequency.ct154,-3.5144,0.7313,-4.8057,0,159,13505.25862,N,N,33
learning.ct154,1.0589,0.5885,1.7992,0.072,159,2.981754298,N,N,33
correctFrequency.ct:learning.ct154,-1.6724,1.4301,-1.1694,0.2422,159,0.507625814,N,N,33
correctFrequencyhigh:learning.ct154,-0.2454,1.1417,-0.215,0.8298,159,0.618067498,N,N,33
correctFrequencylow:learning.ct154,-0.2641,1.0676,-0.2474,0.8046,159,0.583815243,N,N,33
(Intercept)244,0.9747,0.278,3.506,5.00E-04,139,NA,N,N,33
correctFrequency.ct244,-4.0719,0.6301,-6.4619,0,139,65456228.51,N,N,33
learning.ct244,-0.3093,0.495,-0.6248,0.5321,139,0.420732062,N,N,33
correctFrequency.ct:learning.ct244,0.1753,1.1561,0.1517,0.8794,139,0.811132671,N,N,33
correctFrequencyhigh:learning.ct244,1.8951,1.0262,1.8467,0.0648,139,3.177630841,N,N,33
correctFrequencylow:learning.ct244,0.2227,0.8137,0.2737,0.7843,139,0.686706796,N,N,33
(Intercept)342,0.5794,0.3945,1.4689,0.1419,119,NA,N,N,33
correctFrequency.ct342,-5.3721,0.6645,-8.0846,0,119,1.49E+12,N,N,33
learning.ct342,0.3293,0.7125,0.4622,0.644,119,0.960794875,N,N,33
correctFrequency.ct:learning.ct342,0.0574,1.1537,0.0498,0.9603,119,0.766570312,N,N,33
correctFrequencyhigh:learning.ct342,-0.397,1.0077,-0.3939,0.6936,119,0.520209207,N,N,33
correctFrequencylow:learning.ct342,-0.2216,0.3776,-0.587,0.5572,119,0.206887666,N,N,33
(Intercept)442,1.8654,0.5958,3.1307,0.0017,99,NA,N,N,33
correctFrequency.ct442,-4.1482,1.0321,-4.0191,1.00E-04,99,380.1430665,N,N,33
learning.ct442,-0.2329,0.9925,-0.2346,0.8145,99,0.753428537,N,N,33
correctFrequency.ct:learning.ct442,1.0315,1.5852,0.6507,0.5152,99,1.140043181,N,N,33
correctFrequencyhigh:learning.ct442,0.3006,1.0012,0.3002,0.764,99,0.784845969,N,N,33
correctFrequencylow:learning.ct442,0.358,0.8235,0.4347,0.6637,99,0.78014206,N,N,33
(Intercept)542,0.8194,0.4027,2.0346,0.0419,79,NA,N,N,33
correctFrequency.ct542,-4.3716,0.6506,-6.719,0,79,255075365.4,N,N,33
learning.ct542,-0.1442,0.7551,-0.191,0.8485,79,0.683630714,N,N,33
correctFrequency.ct:learning.ct542,0.3721,1.1783,0.3158,0.7522,79,0.896207314,N,N,33
correctFrequencyhigh:learning.ct542,-0.7486,1.6062,-0.4661,0.6412,79,0.655852575,N,N,33
correctFrequencylow:learning.ct542,0.2829,0.8053,0.3512,0.7254,79,0.722718118,N,N,33
(Intercept)642,0.2431,0.2596,0.9365,0.349,59,NA,N,N,33
correctFrequency.ct642,-3.374,0.7588,-4.4468,0,59,3105.603228,N,N,33
learning.ct642,-0.1815,0.4937,-0.3676,0.7131,59,0.481721097,N,N,33
correctFrequency.ct:learning.ct642,-0.7412,1.4887,-0.4979,0.6186,59,0.665764857,N,N,33
correctFrequencyhigh:learning.ct642,-0.3303,1.0745,-0.3074,0.7586,59,0.56753821,N,N,33
correctFrequencylow:learning.ct642,0.0418,0.8245,0.0507,0.9595,59,0.593071944,N,N,33
(Intercept)742,0.9157,0.4088,2.2398,0.0251,39,NA,N,N,33
correctFrequency.ct742,-2.9689,0.4958,-5.9886,0,39,8413546.299,N,N,33
learning.ct742,-0.503,0.8052,-0.6247,0.5322,39,0.57976307,N,N,33
correctFrequency.ct:learning.ct742,-1.0763,0.9553,-1.1267,0.2599,39,0.392213681,N,N,33
correctFrequencyhigh:learning.ct742,0.1891,1.1369,0.1663,0.8679,39,0.765922629,N,N,33
correctFrequencylow:learning.ct742,-0.5521,0.55,-1.0037,0.3155,39,0.233454791,N,N,33
(Intercept)842,0.1158,0.2395,0.4836,0.6286,19,NA,N,N,33
correctFrequency.ct842,-2.7394,0.6776,-4.0428,1.00E-04,19,856.8642116,N,N,33
learning.ct842,0.4546,0.4759,0.9553,0.3394,19,1.232587254,N,N,33
correctFrequency.ct:learning.ct842,-1.0765,1.3512,-0.7967,0.4256,19,0.563086635,N,N,33
correctFrequencyhigh:learning.ct842,0.0352,0.9499,0.037,0.9705,19,0.642487741,N,N,33
correctFrequencylow:learning.ct842,-1.0412,0.9222,-1.129,0.2589,19,0.343115142,N,N,33
143,NA,NA,NA,NA,NA,NA,NA,NA,34
(Intercept)155,0.2272,0.2603,0.8727,0.3828,179,NA,N,N,34
correctFrequency.ct155,-3.0274,0.728,-4.1585,0,179,1175.551982,N,N,34
learning.ct155,0.3664,0.507,0.7227,0.4699,179,1.029020228,N,N,34
correctFrequency.ct:learning.ct155,-0.5003,1.4393,-0.3476,0.7282,179,0.697570569,N,N,34
correctFrequencyhigh:learning.ct155,0.9928,0.9442,1.0515,0.293,179,1.38928408,N,N,34
correctFrequencylow:learning.ct155,-0.0837,0.689,-0.1214,0.9034,179,0.465722113,N,N,34
(Intercept)156,0.8544,0.3922,2.1786,0.0294,159,NA,N,N,34
correctFrequency.ct156,-4.7298,0.7153,-6.6119,0,159,90527348.03,N,N,34
learning.ct156,-0.045,0.7229,-0.0622,0.9504,159,0.714978936,N,N,34
correctFrequency.ct:learning.ct156,-0.1968,1.2984,-0.1516,0.8795,159,0.728397593,N,N,34
correctFrequencyhigh:learning.ct156,0.6165,0.998,0.6178,0.5367,159,0.983649491,N,N,34
correctFrequencylow:learning.ct156,0.1162,0.7442,0.1562,0.8759,159,0.595467736,N,N,34
(Intercept)245,0.4816,0.3313,1.4539,0.146,139,NA,N,N,34
correctFrequency.ct245,-3.0029,0.5526,-5.4341,0,139,390444.4455,N,N,34
learning.ct245,-1.0257,0.6541,-1.5679,0.1169,139,0.348641921,N,N,34
correctFrequency.ct:learning.ct245,0.7684,1.0859,0.7076,0.4792,139,1.121906505,N,N,34
correctFrequencyhigh:learning.ct245,0.0534,1.0876,0.0491,0.9608,139,0.698305947,N,N,34
correctFrequencylow:learning.ct245,-0.1434,0.8397,-0.1708,0.8644,139,0.52160321,N,N,34
(Intercept)343,0.8659,0.4827,1.7937,0.0729,119,NA,N,N,34
correctFrequency.ct343,-4.5632,0.91,-5.0142,0,119,16591.7617,N,N,34
learning.ct343,-0.4398,0.9041,-0.4865,0.6266,119,0.652302889,N,N,34
correctFrequency.ct:learning.ct343,2.163,1.6903,1.2797,0.2007,119,1.591808882,N,N,34
correctFrequencyhigh:learning.ct343,-1.4098,0.9443,-1.493,0.1354,119,0.301831804,N,N,34
correctFrequencylow:learning.ct343,-0.6415,0.7438,-0.8624,0.3885,119,0.325358158,N,N,34
(Intercept)443,1.0948,0.2795,3.9166,1.00E-04,99,NA,N,N,34
correctFrequency.ct443,-3.2058,0.4913,-6.5253,0,99,189788278.3,N,N,34
learning.ct443,-1.2299,0.5479,-2.2449,0.0248,99,0.240348675,N,N,34
correctFrequency.ct:learning.ct443,-1.4901,0.9631,-1.5472,0.1218,99,0.335587518,N,N,34
correctFrequencyhigh:learning.ct443,-1.5214,1.3579,-1.1204,0.2625,99,0.458313691,N,N,34
correctFrequencylow:learning.ct443,0.6417,1.104,0.5812,0.5611,99,0.993390134,N,N,34
(Intercept)543,0.629,0.2898,2.1707,0.03,79,NA,N,N,34
correctFrequency.ct543,-2.5604,0.4266,-6.0022,0,79,11143001.2,N,N,34
learning.ct543,-0.8909,0.5682,-1.568,0.1169,79,0.311627401,N,N,34
correctFrequency.ct:learning.ct543,0.7522,0.8235,0.9134,0.361,79,1.227366931,N,N,34
correctFrequencyhigh:learning.ct543,-0.4848,0.7147,-0.6783,0.4976,79,0.345693683,N,N,34
correctFrequencylow:learning.ct543,-1.9749,0.7439,-2.6549,0.0079,79,0.165794956,N,N,34
(Intercept)643,0.7864,0.4169,1.8862,0.0593,59,NA,N,N,34
correctFrequency.ct643,-4.9448,0.6705,-7.375,0,59,12209545304,N,N,34
learning.ct643,0.073,0.7399,0.0986,0.9215,59,0.787446826,N,N,34
correctFrequency.ct:learning.ct643,-0.5072,1.1203,-0.4528,0.6507,59,0.586641494,N,N,34
correctFrequencyhigh:learning.ct643,-1.267,0.8828,-1.4352,0.1512,59,0.291818119,N,N,34
correctFrequencylow:learning.ct643,-0.5148,0.453,-1.1365,0.2557,59,0.183293115,N,N,34
(Intercept)743,0.9014,0.4788,1.8828,0.0597,39,NA,N,N,34
correctFrequency.ct743,-4.15,0.8312,-4.993,0,39,20570.34664,N,N,34
learning.ct743,0.7514,0.8888,0.8454,0.3979,39,1.262704416,N,N,34
correctFrequency.ct:learning.ct743,-0.6429,1.5228,-0.4222,0.6729,39,0.693154183,N,N,34
correctFrequencyhigh:learning.ct743,0.3266,1.1069,0.295,0.768,39,0.819841266,N,N,34
correctFrequencylow:learning.ct743,-0.1807,0.7051,-0.2562,0.7978,39,0.435131904,N,N,34
(Intercept)843,1.2722,0.473,2.6897,0.0072,19,NA,N,N,34
correctFrequency.ct843,-4.8829,0.9685,-5.042,0,19,14576.15991,N,N,34
learning.ct843,-0.592,0.8003,-0.7398,0.4594,19,0.550665591,N,N,34
correctFrequency.ct:learning.ct843,2.418,1.6546,1.4613,0.1439,19,1.783043518,N,N,34
correctFrequencyhigh:learning.ct843,1.0729,1.2619,0.8502,0.3952,19,1.243238671,N,N,34
correctFrequencylow:learning.ct843,0.43,1.0706,0.4016,0.688,19,0.866866275,N,N,34
144,NA,NA,NA,NA,NA,NA,NA,NA,35
(Intercept)157,0.9976,0.2678,3.7247,2.00E-04,179,NA,N,N,35
correctFrequency.ct157,-3.1977,0.5919,-5.402,0,179,296030.7486,N,N,35
learning.ct157,-0.3759,0.5162,-0.7282,0.4665,179,0.412393639,N,N,35
correctFrequency.ct:learning.ct157,-0.7116,1.149,-0.6193,0.5357,179,0.551846522,N,N,35
correctFrequencyhigh:learning.ct157,-1.801,1.4423,-1.2487,0.2118,179,0.455099698,N,N,35
correctFrequencylow:learning.ct157,0.6169,0.7541,0.8181,0.4133,179,1.030705978,N,N,35
(Intercept)158,0.5576,0.3046,1.8304,0.0672,159,NA,N,N,35
correctFrequency.ct158,-3.8567,0.7327,-5.2635,0,159,94018.26689,N,N,35
learning.ct158,0.0111,0.5889,0.0189,0.9849,159,0.673960716,N,N,35
correctFrequency.ct:learning.ct158,-0.5257,1.4315,-0.3672,0.7135,159,0.690160463,N,N,35
correctFrequencyhigh:learning.ct158,-0.0201,0.9384,-0.0214,0.9829,159,0.614956648,N,N,35
correctFrequencylow:learning.ct158,-0.7317,0.5591,-1.3087,0.1906,159,0.205758796,N,N,35
(Intercept)246,0.6009,0.4242,1.4165,0.1566,139,NA,N,N,35
correctFrequency.ct246,-3.5935,0.6322,-5.6843,0,139,1017757.434,N,N,35
learning.ct246,0.2625,0.8231,0.3189,0.7498,139,0.92185218,N,N,35
correctFrequency.ct:learning.ct246,-0.8313,1.2074,-0.6885,0.4911,139,0.551516839,N,N,35
correctFrequencyhigh:learning.ct246,0.2739,1.111,0.2466,0.8052,139,0.796273681,N,N,35
correctFrequencylow:learning.ct246,-0.2517,0.6961,-0.3616,0.7176,139,0.40411401,N,N,35
(Intercept)344,0.6306,0.4028,1.5658,0.1174,119,NA,N,N,35
correctFrequency.ct344,-4.0803,0.6991,-5.8363,0,119,1618573.074,N,N,35
learning.ct344,-0.8428,0.7629,-1.1047,0.2693,119,0.462435489,N,N,35
correctFrequency.ct:learning.ct344,-0.7206,1.3204,-0.5457,0.5852,119,0.615653386,N,N,35
correctFrequencyhigh:learning.ct344,0.6781,0.9524,0.712,0.4765,119,1.040049592,N,N,35
correctFrequencylow:learning.ct344,-0.1532,1.085,-0.1412,0.8877,119,0.624933531,N,N,35
(Intercept)444,0.9767,0.3694,2.6436,0.0082,99,NA,N,N,35
correctFrequency.ct444,-4.6717,0.6866,-6.8037,0,99,329976635.1,N,N,35
learning.ct444,0.8985,0.6522,1.3777,0.1683,99,1.898683518,N,N,35
correctFrequency.ct:learning.ct444,-1.5344,1.1891,-1.2904,0.1969,99,0.431198197,N,N,35
correctFrequencyhigh:learning.ct444,-0.4825,1.0746,-0.449,0.6534,99,0.527357869,N,N,35
correctFrequencylow:learning.ct444,-1.2031,0.9389,-1.2814,0.2001,99,0.326616134,N,N,35
(Intercept)544,0.4414,0.2851,1.5484,0.1215,79,NA,N,N,35
correctFrequency.ct544,-4.1262,0.6689,-6.1682,0,79,10488144.32,N,N,35
learning.ct544,-0.1457,0.5426,-0.2685,0.7883,79,0.543157605,N,N,35
