"","objectLookedAt","timeRel.bin","frequency","block3","proportionLooks"
"167","targetLabelLk",100,"l","block12",0.094331074018574
"168","mismatch1LabelLk",150,"l","block12",0.0935179403929404
"169","mismatch2LabelLk",150,"l","block12",0.100356703481703
"170","targetLabelLk",150,"l","block12",0.0923900462962963
"171","mismatch1LabelLk",200,"l","block12",0.109411421911422
"172","mismatch2LabelLk",200,"l","block12",0.107744859307359
"173","targetLabelLk",200,"l","block12",0.105570211038961
"174","mismatch1LabelLk",250,"l","block12",0.11094772382723
"175","mismatch2LabelLk",250,"l","block12",0.116557905276735
"176","targetLabelLk",250,"l","block12",0.120614628427128
"177","mismatch1LabelLk",300,"l","block12",0.128584147334147
"178","mismatch2LabelLk",300,"l","block12",0.111216040903541
"179","targetLabelLk",300,"l","block12",0.102978445165945
"180","mismatch1LabelLk",350,"l","block12",0.109306771127423
"181","mismatch2LabelLk",350,"l","block12",0.114081909937888
"182","targetLabelLk",350,"l","block12",0.0903439153439153
"183","mismatch1LabelLk",400,"l","block12",0.102642496392496
"184","mismatch2LabelLk",400,"l","block12",0.0915030571280571
"185","targetLabelLk",400,"l","block12",0.125414111351611
"186","mismatch1LabelLk",450,"l","block12",0.133942822224072
"187","mismatch2LabelLk",450,"l","block12",0.0913298217985718
"188","targetLabelLk",450,"l","block12",0.127487266632003
"189","mismatch1LabelLk",500,"l","block12",0.0922938906473853
"190","mismatch2LabelLk",500,"l","block12",0.0956902857944525
"191","targetLabelLk",500,"l","block12",0.0958994708994709
"192","mismatch1LabelLk",550,"l","block12",0.0873032385979097
"193","mismatch2LabelLk",550,"l","block12",0.0864294463252797
"194","targetLabelLk",550,"l","block12",0.136547654064257
"195","mismatch1LabelLk",600,"l","block12",0.0714545292670293
"196","mismatch2LabelLk",600,"l","block12",0.0699059042809043
"197","targetLabelLk",600,"l","block12",0.168371385558886
"198","mismatch1LabelLk",650,"l","block12",0.0485229020706962
"199","mismatch2LabelLk",650,"l","block12",0.0627272727272727
"200","targetLabelLk",650,"l","block12",0.227158647452765
"201","mismatch1LabelLk",700,"l","block12",0.0134882478632479
"202","mismatch2LabelLk",700,"l","block12",0.0488910395160395
"203","targetLabelLk",700,"l","block12",0.36018136955637
"204","mismatch1LabelLk",750,"l","block12",0.0174898018648019
"205","mismatch2LabelLk",750,"l","block12",0.0288544584500467
"206","targetLabelLk",750,"l","block12",0.442144966961143
"207","mismatch1LabelLk",800,"l","block12",0.0137553418803419
"208","mismatch2LabelLk",800,"l","block12",0.0194534632034632
"209","targetLabelLk",800,"l","block12",0.471592282899849
"210","mismatch1LabelLk",850,"l","block12",0.021114417989418
"211","mismatch2LabelLk",850,"l","block12",0.0301739926739927
"212","targetLabelLk",850,"l","block12",0.504193664451017
"213","mismatch1LabelLk",900,"l","block12",0.0323183760683761
"214","mismatch2LabelLk",900,"l","block12",0.0308712121212121
"215","targetLabelLk",900,"l","block12",0.428645785156202
"216","mismatch1LabelLk",950,"l","block12",0.0197172619047619
"217","mismatch2LabelLk",950,"l","block12",0.0458754208754209
"218","targetLabelLk",950,"l","block12",0.475765594699418
"219","mismatch1LabelLk",1000,"l","block12",0.0233796296296296
"220","mismatch2LabelLk",1000,"l","block12",0.0402694527694528
"221","targetLabelLk",1000,"l","block12",0.506798352110852
"222","mismatch1LabelLk",1050,"l","block12",0.0212972008927891
"223","mismatch2LabelLk",1050,"l","block12",0.0335221083382848
"224","targetLabelLk",1050,"l","block12",0.515044551717346
"225","mismatch1LabelLk",1100,"l","block12",0.00420875420875421
"226","mismatch2LabelLk",1100,"l","block12",0.0425978535353535
"227","targetLabelLk",1100,"l","block12",0.503821484829028
"228","mismatch1LabelLk",1150,"l","block12",0.0196211485273985
"229","mismatch2LabelLk",1150,"l","block12",0.0461214133089133
"230","targetLabelLk",1150,"l","block12",0.510385679135679
"231","mismatch1LabelLk",1200,"l","block12",0.0262085137085137
"232","mismatch2LabelLk",1200,"l","block12",0.0414535984848485
"233","targetLabelLk",1200,"l","block12",0.51894531972657
"234","mismatch1LabelLk",1250,"l","block12",0.0276146885521886
"235","mismatch2LabelLk",1250,"l","block12",0.0322449252136752
"236","targetLabelLk",1250,"l","block12",0.544566631285381
"237","mismatch1LabelLk",1300,"l","block12",0.0169289044289044
"238","mismatch2LabelLk",1300,"l","block12",0.0303273115773116
"239","targetLabelLk",1300,"l","block12",0.51989226051726
"240","mismatch1LabelLk",1350,"l","block12",0.0338893745143745
"241","mismatch2LabelLk",1350,"l","block12",0.0352500508750509
"242","targetLabelLk",1350,"l","block12",0.502432868057868
"243","mismatch1LabelLk",1400,"l","block12",0.0247395833333333
"244","mismatch2LabelLk",1400,"l","block12",0.0319996843434343
"245","targetLabelLk",1400,"l","block12",0.529469517750768
"246","mismatch1LabelLk",1450,"l","block12",0.0142361111111111
"247","mismatch2LabelLk",1450,"l","block12",0.0194444444444444
"248","targetLabelLk",1450,"l","block12",0.530869708994709
"249","mismatch1LabelLk",1500,"l","block12",0
"250","mismatch2LabelLk",1500,"l","block12",0
"251","targetLabelLk",1500,"l","block12",0.2
"252","mismatch1LabelLk",1550,"l","block12",0
"253","mismatch2LabelLk",1550,"l","block12",0
"254","targetLabelLk",1550,"l","block12",0
"255","ControlOneFoilLk",0,"control","block34",0.0982638888888889
"256","targetLabelLk",0,"control","block34",0.0666666666666667
"257","ControlOneFoilLk",50,"control","block34",0.0988859686268419
"258","targetLabelLk",50,"control","block34",0.109730491834304
"259","ControlOneFoilLk",100,"control","block34",0.0859757349370479
"260","targetLabelLk",100,"control","block34",0.103762049896561
"261","ControlOneFoilLk",150,"control","block34",0.104949168068146
"262","targetLabelLk",150,"control","block34",0.0925116896991897
"263","ControlOneFoilLk",200,"control","block34",0.128595770482444
"264","targetLabelLk",200,"control","block34",0.113647791251958
"265","ControlOneFoilLk",250,"control","block34",0.117963726088726
"266","targetLabelLk",250,"control","block34",0.0922390711820859
"267","ControlOneFoilLk",300,"control","block34",0.118840860041518
"268","targetLabelLk",300,"control","block34",0.105064033189033
"269","ControlOneFoilLk",350,"control","block34",0.118265745692216
"270","targetLabelLk",350,"control","block34",0.103914032330973
"271","ControlOneFoilLk",400,"control","block34",0.126118975677315
"272","targetLabelLk",400,"control","block34",0.103893419352978
"273","ControlOneFoilLk",450,"control","block34",0.130790992976155
"274","targetLabelLk",450,"control","block34",0.102334829295614
"275","ControlOneFoilLk",500,"control","block34",0.124421391176906
"276","targetLabelLk",500,"control","block34",0.11659068328186
"277","ControlOneFoilLk",550,"control","block34",0.125806423651072
"278","targetLabelLk",550,"control","block34",0.118877114869278
"279","ControlOneFoilLk",600,"control","block34",0.117162069685763
"280","targetLabelLk",600,"control","block34",0.160198145991784
"281","ControlOneFoilLk",650,"control","block34",0.0898129234807603
"282","targetLabelLk",650,"control","block34",0.243242810873885
"283","ControlOneFoilLk",700,"control","block34",0.0711864866705553
"284","targetLabelLk",700,"control","block34",0.320954856952664
"285","ControlOneFoilLk",750,"control","block34",0.0497450749668492
"286","targetLabelLk",750,"control","block34",0.408531785176616
"287","ControlOneFoilLk",800,"control","block34",0.0445571521520834
"288","targetLabelLk",800,"control","block34",0.432606918512663
"289","ControlOneFoilLk",850,"control","block34",0.0437993415482657
"290","targetLabelLk",850,"control","block34",0.441971734563531
"291","ControlOneFoilLk",900,"control","block34",0.0436696778172295
"292","targetLabelLk",900,"control","block34",0.442383684790448
"293","ControlOneFoilLk",950,"control","block34",0.0379097599453637
"294","targetLabelLk",950,"control","block34",0.468534293399812
"295","ControlOneFoilLk",1000,"control","block34",0.0341764092024894
"296","targetLabelLk",1000,"control","block34",0.501825466948317
"297","ControlOneFoilLk",1050,"control","block34",0.0370545998835472
"298","targetLabelLk",1050,"control","block34",0.50145165891828
"299","ControlOneFoilLk",1100,"control","block34",0.032401048026048
"300","targetLabelLk",1100,"control","block34",0.480045046327941
"301","ControlOneFoilLk",1150,"control","block34",0.0267847400480073
"302","targetLabelLk",1150,"control","block34",0.483250878812824
"303","ControlOneFoilLk",1200,"control","block34",0.0245882781848255
"304","targetLabelLk",1200,"control","block34",0.549005188975659
"305","ControlOneFoilLk",1250,"control","block34",0.0321022837796735
"306","targetLabelLk",1250,"control","block34",0.544659752907624
"307","ControlOneFoilLk",1300,"control","block34",0.0332925686338515
"308","targetLabelLk",1300,"control","block34",0.515800641685397
"309","ControlOneFoilLk",1350,"control","block34",0.0333213174496069
"310","targetLabelLk",1350,"control","block34",0.524776448474365
"311","ControlOneFoilLk",1400,"control","block34",0.0336262406574907
"312","targetLabelLk",1400,"control","block34",0.542857353222403
"313","ControlOneFoilLk",1450,"control","block34",0.0256200396825397
"314","targetLabelLk",1450,"control","block34",0.480649610805861
"315","ControlOneFoilLk",1500,"control","block34",0
"316","targetLabelLk",1500,"control","block34",1
"317","mismatch1LabelLk",0,"h","block34",0.11206910373577
"318","mismatch2LabelLk",0,"h","block34",0.143563946341724
"319","targetLabelLk",0,"h","block34",0.08663620330287
"320","mismatch1LabelLk",50,"h","block34",0.164260981303393
"321","mismatch2LabelLk",50,"h","block34",0.109640875676743
"322","targetLabelLk",50,"h","block34",0.103127228604683
"323","mismatch1LabelLk",100,"h","block34",0.108200385266075
