resp,category,fribbleSelected,task,subjID,trial,labelPresented,frequency,rt,acc,type_of_resp,expeType
12525,1,dep,2AFC - 4 pictures,3473048,44,tob,low,1272.44000000064,0,mismatch-type1,pilot1
12525,1,dep,2AFC - 4 pictures,3467073,35,tob,low,1236.32999999973,0,mismatch-type1,pilot1
12525,1,dep,2AFC - 4 pictures,3475213,44,tob,low,2104.30000000633,0,mismatch-type1,pilot1
12525,1,dep,2AFC - 4 pictures,3394859,44,tob,low,2286.7649999971,0,mismatch-type1,pilot1
12525,1,dep,2AFC - 4 pictures,3430836,35,tob,low,1874.60000000009,0,mismatch-type1,pilot1
12525,1,dep,2AFC - 4 pictures,3473048,35,tob,low,2061.38500000088,0,mismatch-type1,pilot1
12525,1,dep,2AFC - 4 pictures,3467073,44,tob,low,975.940000000264,0,mismatch-type1,pilot1
12575,1,dep,2AFC - 4 pictures,3491839,50,bim,control_high,1328.72499999939,0,errorControl,pilot1
12975,1,dep,2AFC - 4 pictures,3473048,31,dep,high,2118.12500000087,1,match,pilot1
12975,1,dep,2AFC - 4 pictures,3481518,31,dep,high,2477.97500001616,1,match,pilot1
12975,1,dep,2AFC - 4 pictures,3424063,31,dep,high,1885,1,match,pilot1
12975,1,dep,2AFC - 4 pictures,3430836,31,dep,high,2981.83000000016,1,match,pilot1
12975,1,dep,2AFC - 4 pictures,3394859,31,dep,high,1822.73499999428,1,match,pilot1
12975,1,dep,2AFC - 4 pictures,3421453,31,dep,high,1589.32500000083,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3473048,26,dep,high,1895.32499999952,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3467073,26,dep,high,2176.73500000002,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3475213,26,dep,high,2528.64500018768,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3421453,26,dep,high,1994.31500000355,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3481518,26,dep,high,2216.82499998133,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3424063,26,dep,high,1734,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3394859,26,dep,high,2102.16499998933,1,match,pilot1
13175,1,dep,2AFC - 4 pictures,3491839,42,wug,high,2264.47000000009,0,mismatch-type1,pilot1
13375,1,dep,2AFC - 4 pictures,3491839,25,tob,high,1445.38499999999,0,mismatch-type2,pilot1
13375,1,dep,2AFC - 4 pictures,3475213,25,tob,high,2223.05999998935,0,mismatch-type2,pilot1
13575,1,dep,2AFC - 4 pictures,3491839,36,wug,high,1510.1800000002,0,mismatch-type1,pilot1
20125,2,wug,2AFC - 4 pictures,3394859,40,wug,low,2565.80000001122,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3424063,40,wug,low,1335,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3475213,40,wug,low,1931.95999995805,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3481518,4,wug,low,2358.94999999437,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3424063,4,wug,low,1770,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3421453,40,wug,low,1693.3349999963,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3430836,4,wug,low,3426.99999999991,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3394859,4,wug,low,3355.36999997566,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3481518,40,wug,low,2037.29499998735,1,match,pilot1
20225,2,wug,2AFC - 4 pictures,3424063,27,wug,low,1945,1,match,pilot1
20225,2,wug,2AFC - 4 pictures,3481518,27,wug,low,1851.46000000532,1,match,pilot1
20225,2,wug,2AFC - 4 pictures,3475213,27,wug,low,1855.30000017025,1,match,pilot1
20275,2,wug,2AFC - 4 pictures,3475213,31,dep,high,2571.01500011049,0,mismatch-type2,pilot1
20425,2,wug,2AFC - 4 pictures,3421453,35,tob,low,1617.93000000034,0,mismatch-type2,pilot1
20475,2,wug,2AFC - 4 pictures,3430836,21,wug,high,2898.28499999999,1,match,pilot1
20475,2,wug,2AFC - 4 pictures,3467073,21,wug,high,2205.735,1,match,pilot1
20475,2,wug,2AFC - 4 pictures,3481518,21,wug,high,1193.14499999746,1,match,pilot1
20475,2,wug,2AFC - 4 pictures,3424063,21,wug,high,1178,1,match,pilot1
20475,2,wug,2AFC - 4 pictures,3475213,21,wug,high,1373.89499996789,1,match,pilot1
20475,2,wug,2AFC - 4 pictures,3394859,21,wug,high,2066.39999998151,1,match,pilot1
20675,2,wug,2AFC - 4 pictures,3421453,9,dep,high,1814.98000000283,0,mismatch-type2,pilot1
20975,2,wug,2AFC - 4 pictures,3491839,29,tob,high,1140.15999999992,0,mismatch-type1,pilot1
21025,2,wug,2AFC - 4 pictures,3475213,33,wug,low,1746.0499999579,1,match,pilot1
21025,2,wug,2AFC - 4 pictures,3421453,33,wug,low,2136.40999999916,1,match,pilot1
21025,2,wug,2AFC - 4 pictures,3481518,33,wug,low,2729.56000000704,1,match,pilot1
21025,2,wug,2AFC - 4 pictures,3473048,56,dep,low,1703.34999999977,0,mismatch-type1,pilot1
21025,2,wug,2AFC - 4 pictures,3475213,56,dep,low,2419.80000003241,0,mismatch-type1,pilot1
21025,2,wug,2AFC - 4 pictures,3394859,33,wug,low,2115.35499998718,1,match,pilot1
21025,2,wug,2AFC - 4 pictures,3424063,33,wug,low,2663.99999999997,1,match,pilot1
21125,2,wug,2AFC - 4 pictures,3481518,11,dep,low,1903.61000000848,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3473048,48,dep,low,1535.43499999976,0,mismatch-type1,pilot1
