Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-gazk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,fribbleID,labelPresented,ShowProgressBar,frequency,trialType,list
22,1617182620213,31/03/2021 09:23:40,1617182619301,1,31/03/2021 10:23:39,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,18,4,2,Screen 2,slider,response_slider_initialValue,0,,,0,,0,1,0,,,,,1,task,31075.jpg,"<p style=""font-size: 500%;""> dep </p>",1,h,mismatch-type1,3
23,1617182623110,31/03/2021 09:23:43,1617182622260,1,31/03/2021 10:23:42,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,18,4,2,Screen 2,slider,response_slider_endValue,2959.2550000002084,,,-100,,0,1,0,,,,,1,task,31075.jpg,"<p style=""font-size: 500%;""> dep </p>",1,h,mismatch-type1,3
24,1617182623182,31/03/2021 09:23:43,1617182622262,1,31/03/2021 10:23:42,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,18,4,2,Screen 2,continueButton,continue_button,2959.2550000002084,,,,,0,1,0,,,,,1,task,31075.jpg,"<p style=""font-size: 500%;""> dep </p>",1,h,mismatch-type1,3
25,1617182623557,31/03/2021 09:23:43,1617182622697,1,31/03/2021 10:23:42,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,45,5,1,Screen 1,fixation,fixation,449.9820000000036,,,,,0,1,0,,,,,1,task,11875.jpg,"<p style=""font-size: 500%;""> dep </p>",1,h,match,3
26,1617182623651,31/03/2021 09:23:43,1617182622718,1,31/03/2021 10:23:42,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,45,5,2,Screen 2,slider,response_slider_initialValue,0,,,0,,0,1,0,,,,,1,task,11875.jpg,"<p style=""font-size: 500%;""> dep </p>",1,h,match,3
27,1617182626494,31/03/2021 09:23:46,1617182625639,1,31/03/2021 10:23:45,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,45,5,2,Screen 2,slider,response_slider_endValue,2921.3049999998475,,,100,,0,1,0,,,,,1,task,11875.jpg,"<p style=""font-size: 500%;""> dep </p>",1,h,match,3
28,1617182626567,31/03/2021 09:23:46,1617182625641,1,31/03/2021 10:23:45,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,45,5,2,Screen 2,continueButton,continue_button,2921.3049999998475,,,,,0,1,0,,,,,1,task,11875.jpg,"<p style=""font-size: 500%;""> dep </p>",1,h,match,3
29,1617182626927,31/03/2021 09:23:46,1617182626081,1,31/03/2021 10:23:46,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,27,6,1,Screen 1,fixation,fixation,449.9820000000036,,,,,0,1,0,,,,,1,task,21425.jpg,"<p style=""font-size: 500%;""> dep </p>",1,l,mismatch-type1,3
30,1617182627006,31/03/2021 09:23:47,1617182626105,1,31/03/2021 10:23:46,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,27,6,2,Screen 2,slider,response_slider_initialValue,0,,,0,,0,1,0,,,,,1,task,21425.jpg,"<p style=""font-size: 500%;""> dep </p>",1,l,mismatch-type1,3
31,1617182630823,31/03/2021 09:23:50,1617182629982,1,31/03/2021 10:23:49,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,27,6,2,Screen 2,slider,response_slider_endValue,3876.379999999699,,,-100,,0,1,0,,,,,1,task,21425.jpg,"<p style=""font-size: 500%;""> dep </p>",1,l,mismatch-type1,3
32,1617182630949,31/03/2021 09:23:50,1617182629984,1,31/03/2021 10:23:49,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,27,6,2,Screen 2,continueButton,continue_button,3876.379999999699,,,,,0,1,0,,,,,1,task,21425.jpg,"<p style=""font-size: 500%;""> dep </p>",1,l,mismatch-type1,3
33,1617182631277,31/03/2021 09:23:51,1617182630431,1,31/03/2021 10:23:50,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,13,7,1,Screen 1,fixation,fixation,449.98199999998906,,,,,0,1,0,,,,,1,task,10225.jpg,"<p style=""font-size: 500%;""> dep </p>",1,l,match,3
34,1617182631338,31/03/2021 09:23:51,1617182630453,1,31/03/2021 10:23:50,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,13,7,2,Screen 2,slider,response_slider_initialValue,0,,,0,,0,1,0,,,,,1,task,10225.jpg,"<p style=""font-size: 500%;""> dep </p>",1,l,match,3
35,1617182633748,31/03/2021 09:23:53,1617182632906,1,31/03/2021 10:23:52,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,13,7,2,Screen 2,slider,response_slider_endValue,2452.4699999997247,,,100,,0,1,0,,,,,1,task,10225.jpg,"<p style=""font-size: 500%;""> dep </p>",1,l,match,3
36,1617182633823,31/03/2021 09:23:53,1617182632907,1,31/03/2021 10:23:52,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,13,7,2,Screen 2,continueButton,continue_button,2452.4699999997247,,,,,0,1,0,,,,,1,task,10225.jpg,"<p style=""font-size: 500%;""> dep </p>",1,l,match,3
37,1617182634200,31/03/2021 09:23:54,1617182633341,1,31/03/2021 10:23:53,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,39,8,1,Screen 1,fixation,fixation,449.9820000000036,,,,,0,1,0,,,,,1,task,22575.jpg,"<p style=""font-size: 500%;""> tob </p>",1,h,mismatch-type1,3
38,1617182634280,31/03/2021 09:23:54,1617182633361,1,31/03/2021 10:23:53,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,39,8,2,Screen 2,slider,response_slider_initialValue,0,,,0,,0,1,0,,,,,1,task,22575.jpg,"<p style=""font-size: 500%;""> tob </p>",1,h,mismatch-type1,3
39,1617182640034,31/03/2021 09:24:00,1617182639198,1,31/03/2021 10:23:59,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,39,8,2,Screen 2,slider,response_slider_endValue,5837.720000000001,,,-100,,0,1,0,,,,,1,task,22575.jpg,"<p style=""font-size: 500%;""> tob </p>",1,h,mismatch-type1,3
