resp,subjID,trial_index,plugin,rt,prolificID,task,learning,fribbleID,label,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType,acc
10,4xwhpmkg0h,504,html-button-response,1833.9299999998184,5ef12a14ab53a21a9012b389,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,823tgxfuz7,538,html-button-response,1101.5800000024028,5f632ea32e85353d93872c67,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,s80pnsgly8,588,html-button-response,2130.0000000046566,5ed09b6985143f000c08b6b8,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,4xwhpmkg0h,514,html-button-response,2006.0949999997392,5ef12a14ab53a21a9012b389,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,dn0e1jm7ff,508,html-button-response,2151.720000008936,5e0cf83bc12a3649f4c9ee92,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,yhakp9pfe9,574,html-button-response,3107.8100000013364,5f57a42b46df8927414990fc,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,z4xhznw88z,582,html-button-response,548.9900000029011,5fae68d5b74c182cacbe5d6a,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,mus0v446tm,496,html-button-response,975.1350000005914,5f8dda4538ed0614d9ac476b,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,d1snyw7jw6,528,html-button-response,1133.7249999924097,5fc13b486833fb13fef1720b,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,v9kdh4rpsp,586,html-button-response,1418.1049999897368,5ed14691e983f5067842fd20,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,q3zadoj47e,574,html-button-response,1157.139999999432,5e47ad846c3d4425c60ccbe5,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,5qj7var04h,538,html-button-response,1745.8699999988312,5f4f835cea1e870397a4d295,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,s80pnsgly8,558,html-button-response,1755.9999999939464,5ed09b6985143f000c08b6b8,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,zq33udleq5,548,html-button-response,801.9650000000838,5ec527351fc19046fdd6cd59,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,f9gvt2ubve,544,html-button-response,2163,5f529cd9e0a90c58773ec3fe,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,2n2kv71sum,524,html-button-response,1011.8699999875389,5e67d9ed33e6a60542f4dfd7,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,55ovzw4068,538,html-button-response,764.9600000004284,5f830f1644cc14447b03305c,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,lpb8r8jcs5,556,html-button-response,1827.9050000128336,5dc1e79c880a2915309a8ee3,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,q3zadoj47e,494,html-button-response,1438.689999999071,5e47ad846c3d4425c60ccbe5,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,rhglzajksw,542,html-button-response,3338.1499999959487,5ea98f445ef6ee093f4f05ec,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,yhakp9pfe9,592,html-button-response,2441.0099999950035,5f57a42b46df8927414990fc,labelPictures,LF,14_10_6_12,bim,100275,2,high,wug,purple,control,0
10,f9gvt2ubve,496,html-button-response,1877,5f529cd9e0a90c58773ec3fe,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,z4xhznw88z,600,html-button-response,899.170000000624,5fae68d5b74c182cacbe5d6a,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,98ysefwhzk,534,html-button-response,1861.6100000217557,5f482f05cd5e5d2d1d57c1ff,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,vkybhfxevw,560,html-button-response,1730.2049999998417,5f9d4170f629422451ac7fd8,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,mus0v446tm,548,html-button-response,970.1149999963818,5f8dda4538ed0614d9ac476b,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
11,vkybhfxevw,596,html-button-response,911.4900000022026,5f9d4170f629422451ac7fd8,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,oqwgn1zhn1,494,html-button-response,2369,5eb5cb8ddef42c4ad1456dd9,labelPictures,FL,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,98ysefwhzk,522,html-button-response,1409.7999999648891,5f482f05cd5e5d2d1d57c1ff,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,f9gvt2ubve,592,html-button-response,1395,5f529cd9e0a90c58773ec3fe,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,371addqx7x,494,html-button-response,2771.699999982957,5d8cd4be7bd5180017d887a3,labelPictures,FL,29_11_30_39,tob,110400,4,low,bim,lightblue,exp,0
11,kyb3lzn0xx,510,html-button-response,685.5800000485033,5ee9cbbbdcf662000932fb78,labelPictures,LF,29_11_30_39,tob,110400,4,low,bim,lightblue,exp,0
11,d1snyw7jw6,508,html-button-response,1117.2950000036508,5fc13b486833fb13fef1720b,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,r4145wj5y7,500,html-button-response,1872.3800000007031,5f78b0e3b43f410c88d3af45,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,jxvpkh0u3z,514,html-button-response,948.9199999952689,5fd74512393436000a1a7323,labelPictures,FL,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,32gxlbaw1s,556,html-button-response,1284.0250000008382,5ea2381ad0a4b71481c298e7,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,9x75jv8vpf,574,html-button-response,2867.714999996708,5f34cb60fa6cf63ecf31902d,labelPictures,FL,29_11_30_39,tob,110400,4,low,bim,lightblue,exp,0
11,38cgqt2jvy,490,html-button-response,1706.3600000692531,5f83138efa73fa44e23c5237,labelPictures,FL,29_11_30_39,tob,110400,4,low,bim,lightblue,exp,0
11,581oqcuhue,490,html-button-response,1606.2099999999627,6009c2eda21be3026447d80e,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,2n2kv71sum,600,html-button-response,1329.5449999859557,5e67d9ed33e6a60542f4dfd7,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,5qj7var04h,594,html-button-response,3203.255000000354,5f4f835cea1e870397a4d295,labelPictures,LF,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
11,t5ex7zbfo2,526,html-button-response,2039.1750000017928,5fd7ee02c0a4610ea7d258b4,labelPictures,LF,52_12_6_11,dep,110400,4,high,bim,lightblue,exp,0
11,jfuskuq35s,502,html-button-response,1049,5f50e3d60305bb088998b766,labelPictures,LF,52_12_6_11,dep,110400,4,high,bim,lightblue,exp,0
11,371addqx7x,500,html-button-response,1357.395000057295,5d8cd4be7bd5180017d887a3,labelPictures,FL,11_9_5_16,bim,110400,4,low,bim,lightblue,control,1
