fribbleID,subjID,trial_index,plugin,rt,prolificID,task,resp,learning,label,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType,acc
10,g8ez0w4wvj,508,image-button-response,583,5ec32348079dcc17451cac16,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
11,3a2waojqmg,510,image-button-response,1021,5e6a2c7c5b057b08e930e89d,pictureLabels,dep,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,0
11,67zqwpqc3v,510,image-button-response,1208,5ea3066769713007dfc5f1c3,pictureLabels,dep,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,0
11,3mctt6t3lt,510,image-button-response,1076,5b3cb17b6779080001fe88c1,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,xekfnorue1,510,image-button-response,1201,5a11a7d0f2e3460001edbe35,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,kfhtlqkth4,510,image-button-response,3025,5edf8803c008532459792282,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,t8qovvqyjq,510,image-button-response,1024,5f89cbc45b38f5016101011c,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,cjpw7y8c1k,510,image-button-response,1248,5efdc12f5d69f622915a97a1,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,pusqm5jv5t,510,image-button-response,1148,5f477a85d919ec03cadfaddd,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,e9dxj57s6l,510,image-button-response,1092,5eb58476f88d4008fa483809,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,psp3bt1vuy,510,image-button-response,957,5933d3c4ed2e9a0001d37ab4,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,o7w146d4yj,510,image-button-response,954,5f343de4d0c07630b7f90b92,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,rl7z98kzoa,510,image-button-response,1193,5faa8121f8f5533a5c7f7a20,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,ek1v85vere,510,image-button-response,1038,5bdcd99964215c0001282b34,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,hcnkaylepg,510,image-button-response,2005,5ce8ebe9c9379d0019898681,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,1gynr5ywqp,510,image-button-response,1417,5db1bba0e20f58000b8717f6,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,yj9gmh2tyv,510,image-button-response,972,5e8dcc81e6686e035680594e,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,y20qp8dcxo,510,image-button-response,2143,5f578563765fec223eb51594,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,ker7u0dhxt,510,image-button-response,704,5c87d68fe5bc060001ee8498,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,pmz1eqhg0u,510,image-button-response,2205,5f1bfe98441e2743f34fa16a,pictureLabels,dep,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,0
11,ol68ft1h8h,510,image-button-response,1714,5e5e17c97593e912e086c640,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,85gul0f7qh,510,image-button-response,1020,5e4ab1b4ca765d000edebd15,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,pbt3n7l1gj,510,image-button-response,823,5f63d70e4e460f141abccbc1,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,ffbjr4pqha,510,image-button-response,1078,6009c27b9e9b700266fd52b5,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
