subjID learning task fribbleID label rt resp trialType trialIndex acc Experiment.Version category frequency
1414937 FL learningBlock4 30875 FLtob NA NA audio-keyboard-response 361 NA 14 3 75
1414937 FL learningBlock4 11275 FLdep NA NA audio-keyboard-response 364 NA 14 1 75
1414937 FL learningBlock4 11175 FLdep NA NA audio-keyboard-response 367 NA 14 1 75
1414937 FL learningBlock4 30875 FLtob NA NA audio-keyboard-response 370 NA 14 3 75
1414937 FL learningBlock4 21125 FLbim NA NA audio-keyboard-response 373 NA 14 2 25
1414937 FL learningBlock4 21075 FLbim NA NA audio-keyboard-response 376 NA 14 2 75
1414937 FL learningBlock4 22025 FLbim NA NA audio-keyboard-response 379 NA 14 2 25
1414937 FL learningBlock4 20175 FLbim NA NA audio-keyboard-response 382 NA 14 2 75
1414937 FL learningBlock4 31875 FLtob NA NA audio-keyboard-response 385 NA 14 3 75
1414937 FL learningBlock4 32675 FLtob NA NA audio-keyboard-response 388 NA 14 3 75
1414937 FL learningBlock4 10675 FLdep NA NA audio-keyboard-response 391 NA 14 1 75
1414937 FL learningBlock4 22325 FLbim NA NA audio-keyboard-response 394 NA 14 2 25
1414937 FL learningBlock4 10325 FLdep NA NA audio-keyboard-response 397 NA 14 1 25
1414945 FL learningBlock1 21325 FLbim NA NA audio-keyboard-response 22 NA 14 2 25
1414945 FL learningBlock1 10975 FLdep NA NA audio-keyboard-response 25 NA 14 1 75
1414945 FL learningBlock1 21375 FLbim NA NA audio-keyboard-response 28 NA 14 2 75
1414945 FL learningBlock1 13375 FLdep NA NA audio-keyboard-response 31 NA 14 1 75
1414945 FL learningBlock1 13175 FLdep NA NA audio-keyboard-response 34 NA 14 1 75
1414945 FL learningBlock1 33275 FLtob NA NA audio-keyboard-response 37 NA 14 3 75
1414945 FL learningBlock1 22375 FLbim NA NA audio-keyboard-response 40 NA 14 2 75
1414945 FL learningBlock1 22075 FLbim NA NA audio-keyboard-response 43 NA 14 2 75
1414945 FL learningBlock1 11875 FLdep NA NA audio-keyboard-response 46 NA 14 1 75
1414945 FL learningBlock1 12075 FLdep NA NA audio-keyboard-response 49 NA 14 1 75
