subjID learning task fribbleID label rt resp trialType trialIndex acc Experiment.Version
1431949 NA randomDot NA NA 464.399999997113 39 rdk 402 1 14
1431944 NA randomDot NA NA -1 -1 rdk 12 0 14
1431944 NA randomDot NA NA -1 -1 rdk 13 0 14
1431944 NA randomDot NA NA 1434.2600000021 39 rdk 14 1 14
1431944 NA randomDot NA NA 619.070000000764 37 rdk 15 1 14
1431944 NA randomDot NA NA 547.939999996684 39 rdk 16 1 14
1431944 NA randomDot NA NA 566.449999998324 37 rdk 17 1 14
1431944 NA randomDot NA NA 1499.64000000199 37 rdk 155 1 14
1431944 NA randomDot NA NA 1162.20500000054 39 rdk 156 0 14
1431944 NA randomDot NA NA 640.094999998808 37 rdk 157 1 14
1431944 NA randomDot NA NA 844.844999999274 39 rdk 158 0 14
1431944 NA randomDot NA NA 738.944999997038 39 rdk 159 1 14
1431944 NA randomDot NA NA -1 -1 rdk 248 0 14
1431944 NA randomDot NA NA -1 -1 rdk 249 0 14
1431944 NA randomDot NA NA 845.875000002794 37 rdk 250 1 14
1431944 NA randomDot NA NA 736.994999999646 37 rdk 251 1 14
1431944 NA randomDot NA NA 608.759999999311 39 rdk 252 1 14
1431944 NA randomDot NA NA 1190.16499999957 37 rdk 317 1 14
1431944 NA randomDot NA NA 830.560000002384 39 rdk 318 0 14
1431944 NA randomDot NA NA 1181.28000000073 39 rdk 319 0 14
1431944 NA randomDot NA NA 1076.85000000102 37 rdk 320 1 14
1431944 NA randomDot NA NA 429.935000000056 39 rdk 321 1 14
1431944 NA randomDot NA NA -1 -1 rdk 398 0 14
1431944 NA randomDot NA NA 4.85000000102445 39 rdk 399 0 14
1431944 NA randomDot NA NA 314.604999999516 37 rdk 400 1 14
1431944 NA randomDot NA NA 551.544999998529 37 rdk 401 1 14
1431944 NA randomDot NA NA 501.794999999925 39 rdk 402 1 14
1431953 NA randomDot NA NA 905.735000036657 39 rdk 12 1 14
1431953 NA randomDot NA NA 835.390000022016 39 rdk 13 1 14
1431953 NA randomDot NA NA 501.72499998007 37 rdk 14 1 14
1431953 NA randomDot NA NA 747.799999895506 37 rdk 15 1 14
1431953 NA randomDot NA NA 737.554999999702 37 rdk 16 1 14
1431953 NA randomDot NA NA 660.795000032522 39 rdk 17 1 14
1431953 NA randomDot NA NA 1843.38500001468 39 rdk 131 1 14
1431953 NA randomDot NA NA 502.61500000488 37 rdk 132 1 14
1431953 NA randomDot NA NA 479.704999946989 39 rdk 133 1 14
1431953 NA randomDot NA NA 497.564999968745 39 rdk 134 1 14
1431953 NA randomDot NA NA 490.304999984801 39 rdk 135 1 14
1431953 NA randomDot NA NA 837.625000043772 39 rdk 215 1 14
1431953 NA randomDot NA NA 437.604999984615 39 rdk 216 0 14
1431953 NA randomDot NA NA 553.814999992028 39 rdk 217 1 14
1431953 NA randomDot NA NA 573.08500004001 39 rdk 218 1 14
1431953 NA randomDot NA NA 652.010000078008 39 rdk 219 1 14
1431953 NA randomDot NA NA 1307.4749999214 39 rdk 308 1 14
1431953 NA randomDot NA NA 439.675000030547 37 rdk 309 1 14
1431953 NA randomDot NA NA 468.529999954626 39 rdk 310 1 14
1431953 NA randomDot NA NA 406.385000096634 39 rdk 311 1 14
1431953 NA randomDot NA NA 412.280000047758 39 rdk 312 1 14
1431953 NA randomDot NA NA 1332.35499996226 39 rdk 398 1 14
1431953 NA randomDot NA NA 547.239999985322 37 rdk 399 1 14
1431953 NA randomDot NA NA 560.010000015609 39 rdk 400 1 14
1431953 NA randomDot NA NA 481.535000028089 39 rdk 401 1 14
1431953 NA randomDot NA NA 481.224999995902 39 rdk 402 1 14
1431958 NA randomDot NA NA 1330.19999999998 39 rdk 12 1 14
1431958 NA randomDot NA NA 690.44000000009 37 rdk 13 1 14
1431958 NA randomDot NA NA 589.74000000002 39 rdk 14 1 14
1431958 NA randomDot NA NA 548.214999999909 37 rdk 15 1 14
1431958 NA randomDot NA NA 1007.10500000004 39 rdk 16 0 14
1431958 NA randomDot NA NA 1041.60000000001 39 rdk 17 1 14
1431958 NA randomDot NA NA 1726.82999999996 39 rdk 86 1 14
1431958 NA randomDot NA NA 789.26999999996 37 rdk 87 1 14
1431958 NA randomDot NA NA 655.265000000014 39 rdk 88 1 14
1431958 NA randomDot NA NA 605.900000000023 37 rdk 89 1 14
1431958 NA randomDot NA NA 690.669999999925 39 rdk 90 1 14
1431958 NA randomDot NA NA 1112.47999999998 39 rdk 185 1 14
1431958 NA randomDot NA NA 987.645000000077 37 rdk 186 1 14
1431958 NA randomDot NA NA 637.080000000016 39 rdk 187 1 14
1431958 NA randomDot NA NA 663.179999999993 37 rdk 188 1 14
1431958 NA randomDot NA NA 555.909999999974 39 rdk 189 1 14
1431958 NA randomDot NA NA 740.619999999879 39 rdk 305 1 14
1431958 NA randomDot NA NA 476.815000000119 37 rdk 306 1 14
1431958 NA randomDot NA NA 460.190000000002 39 rdk 307 1 14
1431958 NA randomDot NA NA 815.015000000014 37 rdk 308 1 14
1431958 NA randomDot NA NA 575.684999999998 39 rdk 309 1 14
1431958 NA randomDot NA NA 596.740000000224 39 rdk 398 1 14
1431958 NA randomDot NA NA 575.545000000158 37 rdk 399 1 14
1431958 NA randomDot NA NA 558.605000000214 39 rdk 400 1 14
1431958 NA randomDot NA NA 573.979999999865 37 rdk 401 1 14
1431958 NA randomDot NA NA 612.20000000007 39 rdk 402 1 14
1431965 NA randomDot NA NA -1 -1 rdk 12 0 14
1431965 NA randomDot NA NA -1 -1 rdk 13 0 14
1431965 NA randomDot NA NA 18 37 rdk 14 1 14
1431965 NA randomDot NA NA 1278 39 rdk 15 1 14
1431965 NA randomDot NA NA 1157 39 rdk 16 1 14
1431965 NA randomDot NA NA 1582 39 rdk 17 1 14
1431965 NA randomDot NA NA -1 -1 rdk 104 0 14
1431965 NA randomDot NA NA 1293 37 rdk 105 1 14
1431965 NA randomDot NA NA 588 39 rdk 106 1 14
1431965 NA randomDot NA NA 688 39 rdk 107 1 14
1431965 NA randomDot NA NA 588 37 rdk 108 1 14
1431965 NA randomDot NA NA 1848 39 rdk 221 1 14
1431965 NA randomDot NA NA 644 37 rdk 222 1 14
1431965 NA randomDot NA NA 553 39 rdk 223 1 14
1431965 NA randomDot NA NA 568 39 rdk 224 1 14
1431965 NA randomDot NA NA 501 37 rdk 225 1 14
1431965 NA randomDot NA NA 1753 39 rdk 305 1 14
1431965 NA randomDot NA NA 636 37 rdk 306 1 14
1431965 NA randomDot NA NA 436 39 rdk 307 1 14
1431965 NA randomDot NA NA 493 39 rdk 308 1 14
1431965 NA randomDot NA NA 442 37 rdk 309 1 14
1431965 NA randomDot NA NA 929 39 rdk 398 1 14
1431965 NA randomDot NA NA 629 37 rdk 399 1 14
1431965 NA randomDot NA NA 673 39 rdk 400 1 14
1431965 NA randomDot NA NA 768 39 rdk 401 1 14
1431965 NA randomDot NA NA 701 37 rdk 402 1 14
1431946 NA randomDot NA NA 1363.99499999243 39 rdk 12 1 14
1431946 NA randomDot NA NA 1026.57499999623 37 rdk 13 1 14
1431946 NA randomDot NA NA 983.964999992168 39 rdk 14 1 14
1431946 NA randomDot NA NA 857.920000009472 39 rdk 15 1 14
1431946 NA randomDot NA NA 698.120000000927 37 rdk 16 1 14
1431946 NA randomDot NA NA 536.019999999553 37 rdk 17 1 14
1431946 NA randomDot NA NA 1090.60000001045 39 rdk 92 1 14
1431946 NA randomDot NA NA 756.190000000061 37 rdk 93 1 14
1431946 NA randomDot NA NA 727.689999999711 37 rdk 94 1 14
1431946 NA randomDot NA NA 921.000000002095 37 rdk 95 1 14
1431946 NA randomDot NA NA 732.550000000629 39 rdk 96 1 14
1431946 NA randomDot NA NA 1371.07500000275 39 rdk 173 1 14
1431946 NA randomDot NA NA 975.200000000768 37 rdk 174 1 14
1431946 NA randomDot NA NA 992.989999998827 37 rdk 175 1 14
