resp subjID learning task fribbleID label rt trialType trialIndex acc Experiment.Version category frequency cueID bodyShape
10425 1422678 LF generalizationLP 10425_20125_30725_ tob 1259.92499999853 audio-button-response 570 0 14 1 25 fgfg barrel
10425 1459024 FL generalizationLP 10425_21625_31625_ bim 1892.00500000152 audio-button-response 425 0 15 1 25 fgfg barrel
10425 1459007 FL generalizationLP 10425_21525_32425_ dep 2598.65000005811 audio-button-response 441 1 15 1 25 fgfg barrel
10425 1431961 FL generalizationLP 10425_21025_31425_ tob 1243.1399999914 audio-button-response 415 0 14 1 25 fgfg barrel
10425 1431946 FL generalizationLP 10425_21425_31625_ tob 973.469999997178 audio-button-response 411 0 14 1 25 fgfg barrel
10425 1422473 LF generalizationLP 10425_22025_32225_ tob 1731.78500001086 audio-button-response 566 0 14 1 25 fgfg barrel
10425 1431989 LF generalizationLP 10425_22125_32225_ dep 1567.40499997977 audio-button-response 426 1 14 1 25 fgfg barrel
10425 1459018 FL generalizationLP 10425_20125_30625_ tob 2650.00999998301 audio-button-response 411 0 15 1 25 fgfg barrel
10425 1431998 LF generalizationLP 10425_22325_32525_ dep 1552.43999999948 audio-button-response 410 1 14 1 25 fgfg barrel
10425 1431953 FL generalizationLP 10425_22525_32525_ tob 1247.32500000391 audio-button-response 565 0 14 1 25 fgfg barrel
10425 1431952 LF generalizationLP 10425_20725_31925_ dep 703.609999996843 audio-button-response 578 1 14 1 25 fgfg barrel
10475 1459067 LF generalizationLP 10475_22675_31875_ dep 1547.98000003211 audio-button-response 424 1 15 1 75 bcbc jar
10475 1420185 LF generalizationLP 10475_20675_31575_ dep 874.595000175759 audio-button-response 438 1 14 1 75 bcbc jar
10475 1459046 LF generalizationLP 10475_20775_32975_ dep 1841 audio-button-response 532 1 15 1 75 bcbc jar
10475 1420169 LF generalizationLP 10475_20675_30575_ dep 2305.24999997579 audio-button-response 538 1 14 1 75 bcbc jar
10475 1431946 FL generalizationLP 10475_21575_33575_ bim 1559.46000000404 audio-button-response 439 0 14 1 75 bcbc jar
10475 1420177 FL generalizationLP 10475_22975_32575_ dep 1742.91000000085 audio-button-response 547 1 14 1 75 bcbc jar
10475 1459036 LF generalizationLP 10475_23375_31375_ tob 1237.05500003416 audio-button-response 574 0 15 1 75 bcbc jar
10475 1431961 FL generalizationLP 10475_23375_31175_ bim 1308.990000005 audio-button-response 421 0 14 1 75 bcbc jar
10475 1420573 LF generalizationLP 10475_21075_31275_ dep 672 audio-button-response 446 1 14 1 75 bcbc jar
10475 1459052 FL generalizationLP 10475_23175_33375_ tob 2061.76000041887 audio-button-response 443 0 15 1 75 bcbc jar
10525 1459767 FL generalizationLP 10525_20425_32025_ dep 1269.42500000214 audio-button-response 421 1 15 1 25 hfee barrel
10525 1422681 LF generalizationLP 10525_21325_31925_ tob 1048.96999999986 audio-button-response 550 0 14 1 25 hfee barrel
10525 1459002 FL generalizationLP 10525_21625_32225_ tob 1979.70999986865 audio-button-response 531 0 15 1 25 hfee barrel
10525 1459001 FL generalizationLP 10525_21425_30325_ bim 1147.40999999049 audio-button-response 451 0 15 1 25 hfee barrel
10525 1459700 LF generalizationLP 10525_22025_31425_ dep 1645.96999998321 audio-button-response 572 1 15 1 25 hfee barrel
10525 1422475 LF generalizationLP 10525_21325_30725_ tob 1457.40499999374 audio-button-response 542 0 14 1 25 hfee barrel
10525 1459013 FL generalizationLP 10525_21525_30125_ tob 1703 audio-button-response 537 0 15 1 25 hfee barrel
10525 1420580 FL generalizationLP 10525_20425_32425_ dep 1615.72499998147 audio-button-response 451 1 14 1 25 hfee barrel
10525 1459052 FL generalizationLP 10525_20625_32425_ tob 1166.98500001803 audio-button-response 445 0 15 1 25 hfee barrel
10525 1420199 FL generalizationLP 10525_20525_31425_ dep 1527.44999999413 audio-button-response 567 1 14 1 25 hfee barrel
10525 1459078 LF generalizationLP 10525_20725_31925_ dep 2169.46000000008 audio-button-response 430 1 15 1 25 hfee barrel
10525 1431953 FL generalizationLP 10525_22225_31725_ tob 1801.91999999806 audio-button-response 547 0 14 1 25 hfee barrel
10525 1432030 LF generalizationLP 10525_21725_32225_ tob 1075.12500000303 audio-button-response 560 0 14 1 25 hfee barrel
10525 1459064 FL generalizationLP 10525_20625_32025_ dep 1649.99999990687 audio-button-response 427 1 15 1 25 hfee barrel
10575 1459709 LF generalizationLP 10575_21675_31675_ dep 1661.83500015177 audio-button-response 548 1 15 1 75 baac jar
10575 1431957 FL generalizationLP 10575_20675_31175_ dep 1973.39500000817 audio-button-response 553 1 14 1 75 baac jar
10575 1420622 FL generalizationLP 10575_21475_33175_ dep 1931.76000006497 audio-button-response 535 1 14 1 75 baac jar
10575 1431942 LF generalizationLP 10575_21575_32975_ dep 1733.85499999858 audio-button-response 534 1 14 1 75 baac jar
10575 1422679 FL generalizationLP 10575_21075_30175_ dep 1212.99999998882 audio-button-response 443 1 14 1 75 baac jar
10575 1422463 FL generalizationLP 10575_22375_32975_ dep 1058.59000000055 audio-button-response 435 1 14 1 75 baac jar
10575 1459064 FL generalizationLP 10575_22675_32975_ dep 1793.00000006333 audio-button-response 411 1 15 1 75 baac jar
10575 1459067 LF generalizationLP 10575_23475_33175_ tob 2802.78500006534 audio-button-response 432 0 15 1 75 baac jar
10575 1420552 LF generalizationLP 10575_20175_32075_ tob 1065.8350000158 audio-button-response 542 0 14 1 75 baac jar
10575 1414937 FL generalizationLP 10575_21375_30775_ dep 786.639999976614 audio-button-response 422 1 14 1 75 baac jar
10575 1431966 LF generalizationLP 10575_21675_32375_ tob 945.569999996223 audio-button-response 564 0 14 1 75 baac jar
10625 1459709 LF generalizationLP 10625_20925_31125_ tob 1420.36999994889 audio-button-response 540 0 15 1 25 hffe barrel
10625 1414937 FL generalizationLP 10625_21425_30225_ dep 2031.11000001081 audio-button-response 412 1 14 1 25 hffe barrel
10625 1422675 FL generalizationLP 10625_21725_30825_ dep 1130.39499998558 audio-button-response 543 1 14 1 25 hffe barrel
10625 1459706 FL generalizationLP 10625_21325_30225_ dep 922.209999989718 audio-button-response 571 1 15 1 25 hffe barrel
10625 1431954 LF generalizationLP 10625_21025_31925_ tob 956.834999989951 audio-button-response 568 0 14 1 25 hffe barrel
10625 1422677 FL generalizationLP 10625_21125_32525_ bim 1815.73500001105 audio-button-response 443 0 14 1 25 hffe barrel
10625 1422472 FL generalizationLP 10625_21125_30625_ dep 1408.05499999988 audio-button-response 443 1 14 1 25 hffe barrel
10625 1420180 FL generalizationLP 10625_20225_30825_ tob 1190.88999999996 audio-button-response 571 0 14 1 25 hffe barrel
10625 1431960 LF generalizationLP 10625_20625_30525_ dep 2244.1000000108 audio-button-response 428 1 14 1 25 hffe barrel
10625 1414933 LF generalizationLP 10625_21425_32025_ dep 2000 audio-button-response 435 1 14 1 25 hffe barrel
10625 1431992 FL generalizationLP 10625_21225_32325_ dep 1542 audio-button-response 419 1 14 1 25 hffe barrel
10625 1431953 FL generalizationLP 10625_21325_31625_ bim 2228.10499998741 audio-button-response 535 0 14 1 25 hffe barrel
