fribbleID subjID learning task label rt resp trialType trialIndex acc Experiment.Version category frequency cueID bodyShape
10625 1431981 LF contingencyJudgement tob 2379 -78 audio-slider-response 615 0 14 1 25 hffe barrel
10625 1431968 LF contingencyJudgement tob 2572 -16 audio-slider-response 609 0 14 1 25 hffe barrel
10625 1432009 FL contingencyJudgement bim 2612 -100 audio-slider-response 602 0 14 1 25 hffe barrel
10625 1420577 LF contingencyJudgement dep 3880 18 audio-slider-response 587 1 14 1 25 hffe barrel
10625 1431944 FL contingencyJudgement dep 3069 -14 audio-slider-response 592 1 14 1 25 hffe barrel
10625 1458998 LF contingencyJudgement dep 2920 -35 audio-slider-response 599 1 15 1 25 hffe barrel
10625 1431974 FL contingencyJudgement bim 3286 -61 audio-slider-response 580 0 14 1 25 hffe barrel
10625 1459067 LF contingencyJudgement bim 4208 22 audio-slider-response 595 0 15 1 25 hffe barrel
10625 1459043 LF contingencyJudgement dep 2291 -100 audio-slider-response 609 1 15 1 25 hffe barrel
10625 1459001 FL contingencyJudgement tob 2301 -28 audio-slider-response 596 0 15 1 25 hffe barrel
10625 1459708 FL contingencyJudgement bim 2188 -69 audio-slider-response 612 0 15 1 25 hffe barrel
10625 1432030 LF contingencyJudgement dep 4461 -100 audio-slider-response 595 1 14 1 25 hffe barrel
10625 1432003 LF contingencyJudgement dep 4611 -17 audio-slider-response 601 1 14 1 25 hffe barrel
10625 1459701 LF contingencyJudgement bim 3814 57 audio-slider-response 591 0 15 1 25 hffe barrel
10675 1459696 FL contingencyJudgement dep 2699 -45 audio-slider-response 587 1 15 1 75 cbcd jar
10675 1431998 LF contingencyJudgement tob 4360 -100 audio-slider-response 581 0 14 1 75 cbcd jar
10675 1459700 LF contingencyJudgement tob 3039 -100 audio-slider-response 625 0 15 1 75 cbcd jar
10675 1431974 FL contingencyJudgement bim 2136 -38 audio-slider-response 610 0 14 1 75 cbcd jar
10675 1420180 FL contingencyJudgement dep 3553 80 audio-slider-response 580 1 14 1 75 cbcd jar
10675 1415040 FL contingencyJudgement tob 2800 -100 audio-slider-response 578 0 14 1 75 cbcd jar
10675 1431984 FL contingencyJudgement bim 2537 -100 audio-slider-response 614 0 14 1 75 cbcd jar
10675 1431969 FL contingencyJudgement tob 2240 -100 audio-slider-response 620 0 14 1 75 cbcd jar
10725 1459702 FL contingencyJudgement bim 1341 -11 audio-slider-response 622 0 15 1 25 heef barrel
10725 1422476 LF contingencyJudgement dep 2181 22 audio-slider-response 621 1 14 1 25 heef barrel
10725 1420580 FL contingencyJudgement tob 2960 -100 audio-slider-response 604 0 14 1 25 heef barrel
10725 1422676 LF contingencyJudgement bim 3221 36 audio-slider-response 599 0 14 1 25 heef barrel
10725 1420165 FL contingencyJudgement tob 2000 28 audio-slider-response 594 0 14 1 25 heef barrel
10725 1431999 LF contingencyJudgement dep 2629 -32 audio-slider-response 623 1 14 1 25 heef barrel
10725 1459048 FL contingencyJudgement tob 1707 -25 audio-slider-response 590 0 15 1 25 heef barrel
10725 1431952 LF contingencyJudgement bim 3531 18 audio-slider-response 581 0 14 1 25 heef barrel
10725 1431959 LF contingencyJudgement dep 4251 -100 audio-slider-response 615 1 14 1 25 heef barrel
10725 1431992 FL contingencyJudgement tob 3240 -100 audio-slider-response 598 0 14 1 25 heef barrel
10725 1422466 FL contingencyJudgement bim 1869 39 audio-slider-response 602 0 14 1 25 heef barrel
10725 1431979 FL contingencyJudgement bim 2840 -100 audio-slider-response 588 0 14 1 25 heef barrel
10725 1459052 FL contingencyJudgement tob 1808 -29 audio-slider-response 616 0 15 1 25 heef barrel
10725 1422681 LF contingencyJudgement tob 2990 35 audio-slider-response 609 0 14 1 25 heef barrel
10725 1432003 LF contingencyJudgement dep 3149 38 audio-slider-response 607 1 14 1 25 heef barrel
10725 1431963 LF contingencyJudgement dep 3820 -39 audio-slider-response 581 1 14 1 25 heef barrel
10775 1420580 FL contingencyJudgement tob 3149 -100 audio-slider-response 602 0 14 1 75 ccbc jar
10775 1431981 LF contingencyJudgement tob 2269 14 audio-slider-response 617 0 14 1 75 ccbc jar
10775 1431956 LF contingencyJudgement tob 2380 -83 audio-slider-response 589 0 14 1 75 ccbc jar
10775 1414937 FL contingencyJudgement dep 2000 100 audio-slider-response 614 1 14 1 75 ccbc jar
10775 1431948 LF contingencyJudgement bim 2541 37 audio-slider-response 609 0 14 1 75 ccbc jar
10775 1422679 FL contingencyJudgement tob 3053 -100 audio-slider-response 588 0 14 1 75 ccbc jar
10775 1420163 FL contingencyJudgement dep 2837 68 audio-slider-response 624 1 14 1 75 ccbc jar
10775 1432009 FL contingencyJudgement bim 2728 -100 audio-slider-response 618 0 14 1 75 ccbc jar
10775 1431974 FL contingencyJudgement bim 3466 27 audio-slider-response 592 0 14 1 75 ccbc jar
10775 1420180 FL contingencyJudgement dep 2322 50 audio-slider-response 604 1 14 1 75 ccbc jar
10825 1458997 LF contingencyJudgement dep 2640 -1 audio-slider-response 619 1 15 1 25 eggg barrel
10825 1431984 FL contingencyJudgement bim 2798 -100 audio-slider-response 592 0 14 1 25 eggg barrel
10825 1422681 LF contingencyJudgement tob 3320 33 audio-slider-response 625 0 14 1 25 eggg barrel
10825 1431946 FL contingencyJudgement dep 3175 -100 audio-slider-response 584 1 14 1 25 eggg barrel
10825 1432030 LF contingencyJudgement dep 2851 -40 audio-slider-response 615 1 14 1 25 eggg barrel
10825 1420204 LF contingencyJudgement bim 4520 -100 audio-slider-response 581 0 14 1 25 eggg barrel
10825 1431952 LF contingencyJudgement bim 2261 4 audio-slider-response 597 0 14 1 25 eggg barrel
10825 1420185 LF contingencyJudgement dep 2640 -100 audio-slider-response 617 1 14 1 25 eggg barrel
10825 1459043 LF contingencyJudgement dep 3699 -100 audio-slider-response 603 1 15 1 25 eggg barrel
10825 1420163 FL contingencyJudgement dep 3264 -81 audio-slider-response 592 1 14 1 25 eggg barrel
10825 1431961 FL contingencyJudgement dep 3535 -99 audio-slider-response 600 1 14 1 25 eggg barrel
10875 1420185 LF contingencyJudgement dep 4440 100 audio-slider-response 595 1 14 1 75 abca jar
10875 1459009 FL contingencyJudgement bim 3339 53 audio-slider-response 584 0 15 1 75 abca jar
10875 1431989 LF contingencyJudgement bim 2128 -69 audio-slider-response 603 0 14 1 75 abca jar
10875 1420165 FL contingencyJudgement tob 2099 34 audio-slider-response 602 0 14 1 75 abca jar
10875 1459003 FL contingencyJudgement tob 3640 -13 audio-slider-response 616 0 15 1 75 abca jar
10875 1432052 FL contingencyJudgement bim 3459 35 audio-slider-response 588 0 14 1 75 abca jar
10875 1459703 FL contingencyJudgement tob 2979 -100 audio-slider-response 594 0 15 1 75 abca jar
10875 1459025 LF contingencyJudgement tob 3381 14 audio-slider-response 581 0 15 1 75 abca jar
10875 1422477 FL contingencyJudgement bim 2680 53 audio-slider-response 612 0 14 1 75 abca jar
10875 1432011 FL contingencyJudgement dep 1712 -59 audio-slider-response 608 1 14 1 75 abca jar
10875 1459708 FL contingencyJudgement bim 2531 -100 audio-slider-response 604 0 15 1 75 abca jar
10875 1431946 FL contingencyJudgement dep 3228 -100 audio-slider-response 590 1 14 1 75 abca jar
10875 1459002 FL contingencyJudgement tob 2821 -71 audio-slider-response 622 0 15 1 75 abca jar
10875 1422472 FL contingencyJudgement dep 3744 14 audio-slider-response 596 1 14 1 75 abca jar
10925 1422465 FL contingencyJudgement bim 3187 -100 audio-slider-response 590 0 14 1 25 fgeg barrel
10925 1459697 FL contingencyJudgement dep 3477 100 audio-slider-response 588 1 15 1 25 fgeg barrel
10925 1459709 LF contingencyJudgement tob 3120 -1 audio-slider-response 609 0 15 1 25 fgeg barrel
10925 1459702 FL contingencyJudgement bim 2611 -35 audio-slider-response 582 0 15 1 25 fgeg barrel
10925 1431944 FL contingencyJudgement dep 2411 -6 audio-slider-response 584 1 14 1 25 fgeg barrel
10925 1422477 FL contingencyJudgement bim 2451 77 audio-slider-response 606 0 14 1 25 fgeg barrel
10925 1459015 LF contingencyJudgement dep 2926 100 audio-slider-response 611 1 15 1 25 fgeg barrel
10925 1459064 FL contingencyJudgement dep 1779 25 audio-slider-response 584 1 15 1 25 fgeg barrel
10925 1422678 LF contingencyJudgement bim 1805 -57 audio-slider-response 623 0 14 1 25 fgeg barrel
10925 1420165 FL contingencyJudgement tob 2240 27 audio-slider-response 592 0 14 1 25 fgeg barrel
10925 1431953 FL contingencyJudgement tob 4882 76 audio-slider-response 578 0 14 1 25 fgeg barrel
10925 1431946 FL contingencyJudgement dep 3082 -99 audio-slider-response 596 1 14 1 25 fgeg barrel
10925 1459013 FL contingencyJudgement bim 2545 -31 audio-slider-response 598 0 15 1 25 fgeg barrel
10925 1431968 LF contingencyJudgement tob 2580 -100 audio-slider-response 593 0 14 1 25 fgeg barrel
10975 1432009 FL contingencyJudgement bim 3135 -100 audio-slider-response 596 0 14 1 75 acbc jar
10975 1432052 FL contingencyJudgement bim 3312 83 audio-slider-response 592 0 14 1 75 acbc jar
10975 1420552 LF contingencyJudgement bim 1859 29 audio-slider-response 611 0 14 1 75 acbc jar
10975 1459052 FL contingencyJudgement tob 2531 -35 audio-slider-response 618 0 15 1 75 acbc jar
10975 1459002 FL contingencyJudgement tob 4510 19 audio-slider-response 598 0 15 1 75 acbc jar
10975 1459701 LF contingencyJudgement bim 2485 -44 audio-slider-response 627 0 15 1 75 acbc jar
11025 1432052 FL contingencyJudgement bim 3061 -79 audio-slider-response 606 0 14 1 25 fgge barrel
11025 1431966 LF contingencyJudgement bim 3731 -26 audio-slider-response 617 0 14 1 25 fgge barrel
11025 1415040 FL contingencyJudgement tob 3029 -97 audio-slider-response 612 0 14 1 25 fgge barrel
11025 1459109 LF contingencyJudgement tob 3800 29 audio-slider-response 603 0 15 1 25 fgge barrel
11025 1458996 LF contingencyJudgement dep 3175 100 audio-slider-response 611 1 15 1 25 fgge barrel
11025 1420552 LF contingencyJudgement bim 1781 -5 audio-slider-response 601 0 14 1 25 fgge barrel
11025 1414945 FL contingencyJudgement bim 4612 -33 audio-slider-response 588 0 14 1 25 fgge barrel
11025 1420204 LF contingencyJudgement bim 3219 -70 audio-slider-response 613 0 14 1 25 fgge barrel
11025 1414933 LF contingencyJudgement dep 2621 100 audio-slider-response 603 1 14 1 25 fgge barrel
11025 1458998 LF contingencyJudgement dep 4812 -8 audio-slider-response 587 1 15 1 25 fgge barrel
11025 1459015 LF contingencyJudgement dep 3500 88 audio-slider-response 589 1 15 1 25 fgge barrel
11025 1420622 FL contingencyJudgement tob 4579 -100 audio-slider-response 578 0 14 1 25 fgge barrel
11025 1459003 FL contingencyJudgement tob 3600 -47 audio-slider-response 582 0 15 1 25 fgge barrel
11025 1459700 LF contingencyJudgement tob 3080 -100 audio-slider-response 611 0 15 1 25 fgge barrel
11025 1422466 FL contingencyJudgement bim 2029 45 audio-slider-response 610 0 14 1 25 fgge barrel
11025 1422467 LF contingencyJudgement bim 4781 -49 audio-slider-response 595 0 14 1 25 fgge barrel
11025 1459002 FL contingencyJudgement tob 3651 44 audio-slider-response 588 0 15 1 25 fgge barrel
11025 1420577 LF contingencyJudgement dep 3429 37 audio-slider-response 605 1 14 1 25 fgge barrel
11025 1459018 FL contingencyJudgement tob 2259 47 audio-slider-response 600 0 15 1 25 fgge barrel
11025 1458997 LF contingencyJudgement dep 2189 -6 audio-slider-response 621 1 15 1 25 fgge barrel
11075 1431944 FL contingencyJudgement dep 2141 -12 audio-slider-response 602 1 14 1 75 aaba jar
11075 1422476 LF contingencyJudgement dep 3579 100 audio-slider-response 581 1 14 1 75 aaba jar
11075 1414957 FL contingencyJudgement tob 2946 -34 audio-slider-response 618 0 14 1 75 aaba jar
11075 1431961 FL contingencyJudgement dep 3117 -77 audio-slider-response 602 1 14 1 75 aaba jar
11075 1459699 LF contingencyJudgement dep 3379 100 audio-slider-response 581 1 15 1 75 aaba jar
11075 1422473 LF contingencyJudgement dep 4461 -54 audio-slider-response 605 1 14 1 75 aaba jar
11075 1415040 FL contingencyJudgement tob 3021 -100 audio-slider-response 608 0 14 1 75 aaba jar
11075 1420169 LF contingencyJudgement bim 2786 -10 audio-slider-response 625 0 14 1 75 aaba jar
11075 1431963 LF contingencyJudgement dep 3315 70 audio-slider-response 623 1 14 1 75 aaba jar
11125 1458992 FL contingencyJudgement dep 2160 -52 audio-slider-response 592 1 15 1 25 gegf barrel
11125 1459700 LF contingencyJudgement tob 2888 -100 audio-slider-response 617 0 15 1 25 gegf barrel
11125 1459009 FL contingencyJudgement bim 3240 -83 audio-slider-response 594 0 15 1 25 gegf barrel
11125 1414933 LF contingencyJudgement dep 2560 100 audio-slider-response 597 1 14 1 25 gegf barrel
11125 1422676 LF contingencyJudgement bim 3760 23 audio-slider-response 611 0 14 1 25 gegf barrel
11125 1431989 LF contingencyJudgement bim 3360 20 audio-slider-response 585 0 14 1 25 gegf barrel
11125 1422679 FL contingencyJudgement tob 2833 -100 audio-slider-response 598 0 14 1 25 gegf barrel
11125 1459047 FL contingencyJudgement bim 4412 -4 audio-slider-response 616 0 15 1 25 gegf barrel
11125 1459007 FL contingencyJudgement bim 2171 -49 audio-slider-response 596 0 15 1 25 gegf barrel
11125 1431952 LF contingencyJudgement bim 2144 2 audio-slider-response 595 0 14 1 25 gegf barrel
11125 1459706 FL contingencyJudgement tob 3422 6 audio-slider-response 602 0 15 1 25 gegf barrel
11125 1459052 FL contingencyJudgement tob 2531 -18 audio-slider-response 600 0 15 1 25 gegf barrel
11125 1431954 LF contingencyJudgement bim 2101 -28 audio-slider-response 583 0 14 1 25 gegf barrel
11125 1431974 FL contingencyJudgement bim 4034 -62 audio-slider-response 578 0 14 1 25 gegf barrel
11125 1431961 FL contingencyJudgement dep 2020 -92 audio-slider-response 608 1 14 1 25 gegf barrel
