fribbleID,subjID,language,plugin,codeword,rt,task,resp,learning,label,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType,acc
10,fnul5v7u0c,en,image-button-response,ng06rd26,989,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,pc9v71lhle,en,image-button-response,nd05rt12,763,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,43qjs0ts63,en,image-button-response,la07as21,1086,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,c7w24j9nfq,de,image-button-response,ck05ng18,758,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,ltyqe11amm,de,image-button-response,er05in25,1128,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,w1htsndwg2,en,image-button-response,bo05ou27,2217,pictureLabels,dep,LF,tobdepwugbim,100275,2,high,wug,purple,exp,0
10,csfpvftfnx,de,image-button-response,ko05or02,2369,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,mj8qhhm23d,de,image-button-response,va08im28,985,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,w6nynz57oc,en,image-button-response,tz03as24,2386,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,kk4adj1drx,de,image-button-response,en05es25,1251,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,7xgb6axxfk,de,image-button-response,rf07as06,1243,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,3yxnw7xt1g,de,image-button-response,cz06an18,2615,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,atap00wwqb,en,image-button-response,ft08en25,1934,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,zt9mew4cym,de,image-button-response,el06ng23,862,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,4xjqd36lab,en,image-button-response,un08ta23,1388,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,g0qt0dz9h6,en,image-button-response,LD05ND12,962,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,po0zyzo9vq,de,image-button-response,we06ed23,1017,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,l2tdyj71gq,de,image-button-response,er04as06,1437,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,ulvf1nlewe,de,image-button-response,ia04an16,1048,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,u9vce3hluj,de,image-button-response,ne05ar22,2926,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,zm0cozjsh6,en,image-button-response,al05rt16,789,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
11,9dovdyxkak,de,image-button-response,er09us26,1824,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,5jpxbwcfh4,de,image-button-response,el06as26,712,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,td2t8o9pe4,de,image-button-response,HL06IN19,1098,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
